model,dataset,fraction,n_seeds,auroc_mean,auroc_ci_low,auroc_ci_high,auroc_ci_width,ece_mean,ece_ci_low,ece_ci_high,ece_ci_width,brier_mean,brier_ci_low,brier_ci_high,brier_ci_width,f1_mean,f1_ci_low,f1_ci_high,f1_ci_width
CLIP,PCam,0.5,3,0.9135839868297753,0.9121889907764663,0.9144702099600442,0.0022812191835779316,0.041060241098982764,0.0394858537280681,0.0428890340938772,0.003403180365809097,0.1209066678509745,0.1200515332028495,0.1221459783670676,0.002094445164218098,0.8176262859038684,0.8148290804044295,0.8198650506859391,0.005035970281509594
CLIP,PCam,1.0,3,0.9165845671518783,0.9165845547342418,0.9165845733606967,1.8626454822978644e-08,0.04063580368493753,0.0406356763950781,0.0406360508585668,3.744634887031806e-07,0.11839831467989874,0.1183982954649163,0.1183983519918606,5.652694430591243e-08,0.8234578182051117,0.8234578182051117,0.8234578182051117,0.0
CLIP,SPIDER-Breast,0.01,3,0.8929578345361927,0.8896968158109977,0.8962248039593379,0.006527988148340214,0.15382444896982184,0.1316320092100818,0.1665744272807731,0.03494241807069129,0.0456574270733737,0.0452629615076279,0.0460569997957285,0.0007940382881005958,0.26227596656024815,0.2502454752308972,0.2725177896748301,0.022272314443932906
CLIP,SPIDER-Breast,0.05,3,0.9239862936183642,0.9213118870020617,0.9263667810458404,0.005054894043778679,0.2530029447653342,0.24572775018618573,0.2634482307677425,0.017720480581556758,0.03779325714496579,0.0375587673587361,0.0379255779607623,0.0003668106020261949,0.48302562046735414,0.4719839901018465,0.4916327865136169,0.01964879641177042
CLIP,SPIDER-Breast,0.1,3,0.935494893620244,0.933712121535502,0.9364470611970752,0.0027349396615732324,0.23133611400755016,0.22754787719101474,0.2340119472537666,0.006464070062751848,0.033750274314707306,0.0335030449159245,0.0340999031287992,0.0005968582128747027,0.536274454974094,0.5342132653029175,0.5373133801798678,0.0031001148769503883
CLIP,SPIDER-Breast,0.25,3,0.9485581567222972,0.9481532244643428,0.948778324711354,0.0006251002470112343,0.18827549013847347,0.18529639596115652,0.19332666880074237,0.00803027283958585,0.0290893618190269,0.0289634697301728,0.0291573808332605,0.00019391110308769957,0.5872387777087873,0.5833218471294594,0.5917435468355154,0.008421699706055996
CLIP,SPIDER-Breast,0.5,3,0.9570549251475561,0.9568142450739764,0.9573341268921544,0.0005198818181779696,0.1559555836312471,0.1553650341791718,0.1564654822050371,0.001100448025865286,0.026164355381191533,0.0261483732811208,0.026195523216392697,4.7149935271897925e-05,0.6182923143696527,0.6172162711035306,0.619864253660551,0.0026479825570203674
CLIP,SPIDER-Breast,1.0,3,0.9639805733706058,0.9635696531679604,0.9642261279379859,0.0006564747700255058,0.12621864377108513,0.1248321324345007,0.1270791035476056,0.002246971113104901,0.023653027180923065,0.0235992555232057,0.0237400343266698,0.00014077880346409846,0.6467791506121053,0.6456222111295921,0.6476348711673464,0.0020126600377543546
CONCH,BRACS,0.01,3,0.8331426413829757,0.8218985686373276,0.84242800764477,0.020529439007442418,0.12717445021346055,0.0428114981487725,0.2225466690005415,0.17973517085176902,0.10876857918006066,0.1054481996338088,0.1124974961746948,0.007049296540885999,0.27387622767865155,0.2265951702186051,0.3182943924075788,0.0916992221889737
CONCH,BRACS,0.05,3,0.8833508135675482,0.8790444018852307,0.8865429609111614,0.007498559025930662,0.138840397144845,0.0633095474130254,0.1828455504618065,0.1195360030487811,0.08700190254914204,0.08447025552840588,0.0903592385774127,0.005888983049006813,0.4762045551336696,0.4037963250884105,0.5179490583810639,0.11415273329265335
