probe,model,dataset,fraction,seed,auroc,f1_macro,ece_fixed,ece_scaled_fixed,temperature,degeneracy_share
linear,CONCH,CRC,0.05,456,0.9987260903011838,0.9727303346476376,0.0714536109262082,0.0035216539736578,0.5864482208272737,0.1398
linear,CONCH,CRC,0.1,42,0.998962163921958,0.9766797550945352,0.0467288567203503,0.0035866740410149,0.6466172729906393,0.14
linear,CONCH,CRC,0.1,123,0.9988665513978846,0.9757855232910732,0.0460174842378418,0.0043536840718204,0.6533477699716479,0.1398666666666666
linear,CONCH,CRC,0.1,456,0.998951349846813,0.974935204457096,0.0467845893287142,0.0044682686818895,0.6478312599151319,0.1401333333333333
linear,CONCH,CRC,0.25,42,0.9991334873189937,0.979035484897252,0.0263856373707622,0.0036114612779108,0.7309220761736234,0.1405333333333333
linear,CONCH,CRC,0.25,123,0.9991373936137776,0.9792021445278464,0.0277546404266458,0.0027811961115251,0.711221478610587,0.1403333333333333
linear,CONCH,CRC,0.25,456,0.9991525521957708,0.9784533016273202,0.0270622373792024,0.0033085591119699,0.7194623151591909,0.1404666666666666
linear,CONCH,CRC,0.5,42,0.9993312555640146,0.9814165522957008,0.0189793210130928,0.0021986709297444,0.7568536623940897,0.1405333333333333
linear,CONCH,CRC,0.5,123,0.9993023207617304,0.9807426046811398,0.0194635502058076,0.0029199014452226,0.7466108069664419,0.1407333333333333
linear,CONCH,CRC,0.5,456,0.9993216596974644,0.9804368654709104,0.0186268100423418,0.0021164283106019,0.7639718884114665,0.1403333333333333
linear,CONCH,CRC,1.0,42,0.9994136787146106,0.9828761845101572,0.0133047824909334,0.0019021640584426,0.7823339368359818,0.1407333333333333
linear,CONCH,CRC,1.0,123,0.9994136787146106,0.9828761845101572,0.0133047824909334,0.0019021640584426,0.7823339368359818,0.1407333333333333
linear,CONCH,CRC,1.0,456,0.9994136787146106,0.9828761845101572,0.0133047824909334,0.0019021640584426,0.7823339368359818,0.1407333333333333
linear,CONCH,LungHist700,0.01,42,0.8481885209837342,0.3990236562852565,0.3270529408773485,0.1340308702223454,0.1000052749944835,0.3142857142857143
linear,CONCH,LungHist700,0.01,123,0.8800150253678455,0.481524242150428,0.3395474501441415,0.1181743190440164,0.1000052749944835,0.2285714285714285
linear,CONCH,LungHist700,0.01,456,0.8904432184524934,0.4369373546520058,0.3278263545205717,0.1257791604208022,0.1000052749944835,0.2476190476190476
linear,CONCH,LungHist700,0.05,42,0.903348499662326,0.3879972060877876,0.2422435912324571,0.1222785586106199,0.2589210199607458,0.4476190476190476
linear,CONCH,LungHist700,0.05,123,0.9332747361053614,0.4125169800361616,0.2701474665897555,0.1431010184104332,0.2548394651155474,0.4571428571428571
linear,CONCH,LungHist700,0.05,456,0.9276110885764024,0.3806972789115646,0.2200944294913287,0.1328548091179761,0.2027350864051536,0.3809523809523809
linear,CONCH,LungHist700,0.1,42,0.9269447716052984,0.5238355091819733,0.2959355544798407,0.1241947729864493,0.2728954236795642,0.2761904761904762
linear,CONCH,LungHist700,0.1,123,0.932046510567443,0.45453181272509,0.2384613678320484,0.1177482776133873,0.2614078513054498,0.2857142857142857
linear,CONCH,LungHist700,0.1,456,0.9380575467407954,0.5524305268666171,0.2993224672693931,0.1478939370993731,0.2453986950219492,0.2666666666666666
linear,CONCH,LungHist700,0.25,42,0.9477576968976216,0.5211835783264355,0.1977904061139596,0.1158186914266839,0.3591178221213852,0.2285714285714285
linear,CONCH,LungHist700,0.25,123,0.9469047056430768,0.6234522380380723,0.3011632737075461,0.1487887987916076,0.3304374682578802,0.2285714285714285
linear,CONCH,LungHist700,0.25,456,0.9536334221440724,0.6243190473936598,0.282070314344714,0.1519286925221059,0.3285688810183005,0.2
linear,CONCH,LungHist700,0.5,42,0.9583260318525092,0.6140000757984537,0.2330536608145987,0.130451364584408,0.4588711450301542,0.2285714285714285
linear,CONCH,LungHist700,0.5,123,0.9596297040315932,0.668324657798342,0.255352736033996,0.0894794814735045,0.3995415045677802,0.238095238095238
linear,CONCH,LungHist700,0.5,456,0.9633706554102004,0.621317948687612,0.2260998208165131,0.1017568943931276,0.4179184659877622,0.219047619047619
linear,CONCH,LungHist700,1.0,42,0.971386775329594,0.7006370321407915,0.2083645176047342,0.1038036298228543,0.4784500567645333,0.238095238095238
linear,CONCH,LungHist700,1.0,123,0.971386775329594,0.7006370321407915,0.2083645176047342,0.1038036298228543,0.4784500567645333,0.238095238095238
linear,CONCH,LungHist700,1.0,456,0.971386775329594,0.7006370321407915,0.2083645176047342,0.1038036298228543,0.4784500567645333,0.238095238095238
linear,CONCH,MHIST,0.01,42,0.6934539888348641,0.3870765370138017,0.1493118791130648,0.0929938476610558,2.260303966311197,1.0
linear,CONCH,MHIST,0.01,123,0.6089951377633711,0.3870765370138017,0.1066909899030597,0.074796093785446,2.5924951814850807,1.0
linear,CONCH,MHIST,0.01,456,0.6123716909778498,0.3870765370138017,0.099963037306268,0.0902767439967468,2.16801024128056,1.0
linear,CONCH,MHIST,0.05,42,0.7794075274626328,0.3870765370138017,0.1778020485271864,0.1835429505904934,1.921849159510677,1.0
linear,CONCH,MHIST,0.05,123,0.7319737079056365,0.3870765370138017,0.1353441379043333,0.1393351466469693,1.9555653259684704,1.0
linear,CONCH,MHIST,0.05,456,0.7020349360705924,0.3870765370138017,0.1089297244779752,0.1092622118448945,2.015753703604537,1.0
linear,CONCH,MHIST,0.1,42,0.8096074194129299,0.3960708738721423,0.167049434428628,0.1721731740385396,1.8185922365473848,0.9969293756397134
linear,CONCH,MHIST,0.1,123,0.7694174320187286,0.3926875174232468,0.1295000371581978,0.1337783277310616,1.7781297556196516,0.9969293756397134
linear,CONCH,MHIST,0.1,456,0.7822033135242211,0.4040723175612698,0.1098706636766931,0.1035950401382472,1.8536410315711616,0.9918116683725692
linear,CONCH,MHIST,0.25,42,0.825036016567621,0.5321889439536498,0.1299500369108734,0.1216924446205219,1.80581025221704,0.9160696008188332
linear,CONCH,MHIST,0.25,123,0.8144876643255897,0.5252028829410752,0.1121110837021696,0.1236136736657909,1.731640491176473,0.9273285568065508
linear,CONCH,MHIST,0.25,456,0.8159643435980551,0.5547415565541269,0.1132569072393395,0.1126606051536424,1.729841151453975,0.9109518935516888
linear,CONCH,MHIST,0.5,42,0.8321808031694581,0.620791150499725,0.1090356990706834,0.0975904996386846,1.7873999384640034,0.8403275332650972
linear,CONCH,MHIST,0.5,123,0.8373401764811814,0.625975842528675,0.1151436150313283,0.1029228383428426,1.6941777586125333,0.8433981576253838
linear,CONCH,MHIST,0.5,456,0.838290113452188,0.6348974608655586,0.1022848256248848,0.1045601660003285,1.746268006434379,0.8352098259979529
linear,CONCH,MHIST,1.0,42,0.8509814514676751,0.7128424785987385,0.0917423345736239,0.0853360111669012,1.75578790544987,0.7533265097236438
linear,CONCH,MHIST,1.0,123,0.8509814514676751,0.7128424785987385,0.0917423345736239,0.0853360111669012,1.75578790544987,0.7533265097236438
linear,CONCH,MHIST,1.0,456,0.8509814514676751,0.7128424785987385,0.0917423345736239,0.0853360111669012,1.75578790544987,0.7533265097236438
linear,CONCH,PCam,0.01,42,0.9560775006107892,0.8886018378991238,0.0514064825035752,0.0254618498769068,1.4346455682579264,0.534088134765625
linear,CONCH,PCam,0.01,123,0.9532504406171723,0.8826814233906508,0.0494795072346486,0.0337658706151431,1.463710703780501,0.540252685546875
linear,CONCH,PCam,0.01,456,0.9559951195260914,0.8875191798883781,0.054794651263655,0.0293108934928194,1.511743844686532,0.5357666015625
linear,CONCH,PCam,0.05,42,0.9576468092377992,0.8891247343611484,0.0369706320438566,0.0356826073916453,1.672428356565378,0.54718017578125
linear,CONCH,PCam,0.05,123,0.9597688318367033,0.890760303188036,0.0385045154826927,0.0370321684582893,1.723996987776682,0.5487060546875
linear,CONCH,PCam,0.05,456,0.9602243119887685,0.8928124970062317,0.0361816136653981,0.0310478003691699,1.6880317829440894,0.542205810546875
linear,CONCH,PCam,0.1,42,0.9591148160272316,0.8912670333040662,0.0331550856919686,0.035363160568844,1.8086826310028803,0.54705810546875
linear,CONCH,PCam,0.1,123,0.9593728855597652,0.8910082814044298,0.0349787486492295,0.036668499566761,1.8516513023444623,0.54840087890625
linear,CONCH,PCam,0.1,456,0.9611107710541328,0.8931839035263494,0.0322592614235556,0.0326666672164096,1.7898661852714133,0.54498291015625
linear,CONCH,PCam,0.25,42,0.9643023693964484,0.89653020001193,0.0341821611702012,0.0346527904388564,1.913393746228165,0.54681396484375
linear,CONCH,PCam,0.25,123,0.962505613128748,0.894475187002765,0.0340938166236868,0.0348809728735424,1.9299207596275847,0.547393798828125
