design,model,pair,ece_lo,ece_hi,ece_delta,ece_slope,rises,auroc_lo,auroc_hi,auroc_mean,auroc_dist,degeneracy,degenerate_share
label-definition,MIDNIGHT,PCam->MHIST,0.2475954763139763,0.3622809682613543,0.11468549194737801,0.055539266866530476,True,0.4423779938771835,0.44454349000540255,0.4461027072453328,0.0538972927546672,1.0,1.0
label-definition,PLIP,BRACS->CRC,0.18272101201453006,0.2610130446072705,0.07829203259274042,0.04074579313972693,True,0.6250759113056101,0.434316799709809,0.4648421639510263,0.03515783604897371,0.9044814814814816,0.2222222222222222
label-definition,PLIP,CRC->BRACS,0.0732865039507824,0.1786527894979636,0.1053662855471812,0.051664328224201014,True,0.6033748890502704,0.6132141128056161,0.6097654253745395,0.10976542537453948,0.8408382066276803,0.0
label-definition,PLIP,MHIST->PCam,0.2158091462338754,0.2067550421375808,-0.00905410409629459,-0.00623546042293007,False,0.4970365341310334,0.5750009498560672,0.5510678519064033,0.05106785190640328,0.9884440104166666,0.6666666666666666
label-definition,PLIP,PCam->MHIST,0.32425385120879363,0.2607234765022952,-0.06353037470649842,-0.041385045423966156,False,0.4228600156071793,0.5479335494327391,0.4862454228945314,0.013754577105468624,0.6941316956670077,0.0
label-definition,UNI,BRACS->CRC,0.1883583453200033,0.1880210433383179,-0.0003373019816854117,-0.007834124148443861,False,0.5756524307778458,0.401307538773908,0.44393441003586237,0.05606558996413763,0.9675185185185183,0.3888888888888889
label-definition,UNI,CRC->BRACS,0.2050295899760403,0.2718966452663764,0.06686705529033612,0.03341100173115964,True,0.590282820947309,0.5232540547083031,0.5500349659754162,0.050034965975416235,1.0,1.0
label-definition,UNI,MHIST->PCam,0.22463125742543544,0.4390379408458358,0.21440668342040037,0.11526938911017785,True,0.5046299859640597,0.5893857809897634,0.5394801414305727,0.03948014143057266,0.9999932183159722,1.0
label-definition,UNI,PCam->MHIST,0.16816393393345583,0.2845572668611981,0.11639333292774226,0.05979488272363978,True,0.4553499609820517,0.4419322888528723,0.44810012605798666,0.05189987394201334,0.8254293187762993,0.0
label-definition,VIRCHOW2,BRACS->CRC,0.18482871061057204,0.1377773467802993,-0.04705136383027275,-0.027841200065697756,False,0.511972884939197,0.7456394321532546,0.6889939506388458,0.18899395063884583,0.9756518518518518,0.4444444444444444
label-definition,VIRCHOW2,CRC->BRACS,0.2108791171669674,0.2676149925919617,0.05673587542499431,0.028151693497631844,True,0.6352578068264343,0.6347282740256596,0.6441228583340057,0.14412285833400573,1.0,1.0
