model,dataset,fraction,seed,budget,n_train,n_val,n_labels_total,n_classes,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,forced_classes,forced_val_classes,degenerate
MIDNIGHT,CRC,0.01,123,proportional,696,144,840,9,0.9984992477139188,0.964427184543982,,0.1826532121522695,0.1826532121522694,0.3095376547705455,0.0149795910137315,0.0142586690934213,0.1461333333333333,0,0,False
MIDNIGHT,CRC,0.01,456,proportional,696,144,840,9,0.9981569795150176,0.964384202876834,,0.1816189623243202,0.1816189623243202,0.4739749160918042,0.0116377114674361,0.0118308040312321,0.1443333333333333,0,0,False
MIDNIGHT,CRC,0.05,42,proportional,3495,745,4240,9,0.9988291703807318,0.975257714504338,,0.0656569514301642,0.0656569514301642,0.6078488275368007,0.0042179382855241,0.0056999383438581,0.1446,0,0,False
MIDNIGHT,CRC,0.05,123,proportional,3495,745,4240,9,0.9988978566201124,0.9741283273427876,,0.0658681195854655,0.0658681195854655,0.5614604574577987,0.0035581426926255,0.0025023550790651,0.1446,0,0,False
MIDNIGHT,CRC,0.05,456,proportional,3495,745,4240,9,0.9988052940738212,0.9738475875641464,,0.0682546994527089,0.0682546994527089,0.5912226206145831,0.003456206961284,0.0044784020033133,0.1434666666666666,0,0,False
MIDNIGHT,CRC,0.1,42,proportional,6996,1497,8493,9,0.999092345946007,0.9781650753009216,,0.0424514911736746,0.0424514911736745,0.6446247107121538,0.0037554500870835,0.0038149627418744,0.1438,0,0,False
MIDNIGHT,CRC,0.1,123,proportional,6996,1497,8493,9,0.9991647112743468,0.9783434310602674,,0.0441076571906931,0.0441076571906929,0.5955135505047591,0.0033868268986464,0.0026670887393934,0.1430666666666666,0,0,False
MIDNIGHT,CRC,0.1,456,proportional,6996,1497,8493,9,0.999066777958556,0.9778992493816668,,0.0442479016420375,0.0442479016420375,0.6484206112126223,0.0027875032693132,0.0039946020369886,0.1426,0,0,False
MIDNIGHT,CRC,0.25,42,proportional,17496,3746,21242,9,0.9993576644658276,0.982111592245876,,0.0247668728590788,0.0247668728590788,0.6896650068908682,0.0033431322939089,0.0033533986548573,0.1432,0,0,False
MIDNIGHT,CRC,0.25,123,proportional,17496,3746,21242,9,0.9994208211670504,0.982476900244736,,0.0253488417166966,0.0253488417166967,0.6770548162049165,0.0034073167942066,0.0025222277382076,0.1426666666666666,0,0,False
MIDNIGHT,CRC,0.25,456,proportional,17496,3746,21242,9,0.9994690284850553,0.9822866920469308,,0.0257628843810816,0.0256595215946774,0.6897983054046941,0.0021722236269494,0.0024368209409741,0.1422,0,0,False
MIDNIGHT,CRC,0.5,42,proportional,34998,7496,42494,9,0.9995981924165824,0.984615510485672,,0.0174763096003458,0.017339718488443,0.7082543799778594,0.0025218241583171,0.0017485219365312,0.1422,0,0,False
MIDNIGHT,CRC,0.5,123,proportional,34998,7496,42494,9,0.999582771523787,0.9857581239593672,,0.018675076192537,0.0185556175074473,0.685192792382625,0.002519533556948,0.0011830737669014,0.1427333333333333,0,0,False
MIDNIGHT,CRC,0.5,456,proportional,34998,7496,42494,9,0.9995876626697096,0.9850239788463776,,0.0171603802298585,0.0170504231309872,0.7140466872961622,0.0029766271695695,0.0013087229405976,0.1420666666666666,0,0,False
MIDNIGHT,CRC,1.0,42,proportional,70000,15000,85000,9,0.9996967099917168,0.9875221124604632,,0.0127321236651975,0.0127321236651974,0.7184427398185931,0.0033519757714169,0.0010283142446457,0.1424,0,0,False
MIDNIGHT,CRC,1.0,123,proportional,70000,15000,85000,9,0.9996967099917168,0.9875221124604632,,0.0127321236651975,0.0127321236651974,0.7184427398185931,0.0033519757714169,0.0010283142446457,0.1424,0,0,False
MIDNIGHT,CRC,1.0,456,proportional,70000,15000,85000,9,0.9996967099917168,0.9875221124604632,,0.0127321236651975,0.0127321236651974,0.7184427398185931,0.0033519757714169,0.0010283142446457,0.1424,0,0,False
MIDNIGHT,LungHist700,0.01,42,proportional,7,7,14,7,0.7198688021526322,0.4482466850887903,,0.2887048558242743,0.3334882259486418,0.2623045291599248,0.1810208645788593,0.2141071345786771,0.1904761904761904,6,7,False
MIDNIGHT,LungHist700,0.01,123,proportional,7,7,14,7,0.6034945360102209,0.2061118953075735,,0.0637962064684131,0.1442004435445671,0.223819197019369,0.176055839502761,0.1979112064996361,0.2857142857142857,6,7,False
MIDNIGHT,LungHist700,0.01,456,proportional,7,7,14,7,0.767714392384122,0.3097961353600451,,0.1655594703506501,0.222281503060368,0.222647000238389,0.1362755547592693,0.1724862425276813,0.2571428571428571,6,7,False
MIDNIGHT,LungHist700,0.05,42,proportional,22,7,29,7,0.7676284211360932,0.1831417624521072,,0.1272212330133689,0.1865382571289024,0.5473307253263557,0.1656457734243418,0.1871452558741279,0.638095238095238,0,6,False
MIDNIGHT,LungHist700,0.05,123,proportional,22,7,29,7,0.8203044132146067,0.3519811132656806,,0.2152521146263706,0.2329580178173431,0.3965344867851392,0.0910515244457495,0.1413738618574004,0.3714285714285714,0,6,False
MIDNIGHT,LungHist700,0.05,456,proportional,22,7,29,7,0.87703907409882,0.3356832612166531,,0.2139346296192394,0.255948256458373,0.2603235568201118,0.1168526391554418,0.1225985374548859,0.4380952380952381,0,6,False
MIDNIGHT,LungHist700,0.1,42,proportional,45,8,53,7,0.8511523793537783,0.3985015705549955,,0.2157810543474597,0.2434766990254198,0.4231583605850305,0.1473584304762442,0.2054129585965677,0.3714285714285714,0,2,False
MIDNIGHT,LungHist700,0.1,123,proportional,45,8,53,7,0.8481491447575262,0.4133919769593394,,0.2250889190032314,0.2557473770768076,0.3670926401799202,0.095158855001515,0.1282097520342199,0.2857142857142857,0,2,False
MIDNIGHT,LungHist700,0.1,456,proportional,45,8,53,7,0.8876986154168259,0.4080727943351254,,0.2417875407811217,0.2380037795243538,0.4760009028535248,0.1400479828533156,0.1723315308257936,0.2857142857142857,0,2,False
MIDNIGHT,LungHist700,0.25,42,proportional,118,24,142,7,0.8998358441208723,0.4196608946608947,,0.1441614270755857,0.1836683723451485,0.4916794101104468,0.1465957795821381,0.1495800709408429,0.2857142857142857,0,0,False
MIDNIGHT,LungHist700,0.25,123,proportional,118,24,142,7,0.8808984152363798,0.4746089861853408,,0.1830749274732337,0.1889151496951282,0.3480400022619149,0.2121413362829113,0.2254130662334768,0.2095238095238095,0,0,False
MIDNIGHT,LungHist700,0.25,456,proportional,118,24,142,7,0.9143074206323404,0.524984814802444,,0.1931994369772244,0.2551092849845267,0.4912156197482596,0.1545753617388068,0.1852352383458818,0.2571428571428571,0,0,False
MIDNIGHT,LungHist700,0.5,42,proportional,240,49,289,7,0.921954324871214,0.54177293875302,,0.1902685003767913,0.1955503783615766,0.4909251216683999,0.1540974621854669,0.1496650914485422,0.2476190476190476,0,0,False
MIDNIGHT,LungHist700,0.5,123,proportional,240,49,289,7,0.9012887487774366,0.541169916585199,,0.1515951778587883,0.1683870644662634,0.5386593746952831,0.1757462978463032,0.1649517761367729,0.219047619047619,0,0,False
MIDNIGHT,LungHist700,0.5,456,proportional,240,49,289,7,0.9222703557959492,0.5368703573893969,,0.1651569563523306,0.1815061958693455,0.5904721634968845,0.0968379803773889,0.1657603656790761,0.238095238095238,0,0,False
MIDNIGHT,LungHist700,1.0,42,proportional,483,103,586,7,0.9460658957717402,0.68089805558137,,0.1946074086746045,0.2107724362373422,0.505135268342822,0.104621205238328,0.0738649256598909,0.2,0,0,False
