probe,model,dataset,fraction,seed,n_train,n_classes,trainable_params,trainable_pct,epochs,lr,lora_r,train_seconds,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,degenerate
lora,UNI,lunghist700,0.1,42,45,7,1201159,0.394,10,0.0001,8,39.1,0.6031544692692182,0.2134982664394429,,0.0541201748240452,0.1221575934726458,1.2977816037903416,0.0493104867637157,0.1330180939000386,0.3557692307692308,False
lora,UNI,lunghist700,0.1,123,45,7,1201159,0.394,10,0.0001,8,40.4,0.585996551258753,0.2692394062708905,,0.0643275405925053,0.1163596189939058,4.049142767543553,0.0857527846327194,0.1157139968127012,0.2884615384615384,False
lora,UNI,lunghist700,0.1,456,45,7,1201159,0.394,10,0.0001,8,31.0,0.6352108516443683,0.2089400555267022,,0.0576839544452153,0.1437178504868195,0.9941797926775984,0.0582595120828885,0.1306859608739614,0.2692307692307692,False
lora,UNI,lunghist700,1.0,42,483,7,1201159,0.394,10,0.0001,8,278.6,0.9602412781721756,0.7319438011164042,,0.1957489097347626,0.2145782706256096,0.6254443462451894,0.0880645499206506,0.0942800288590101,0.2307692307692307,False
lora,UNI,lunghist700,1.0,123,483,7,1201159,0.394,10,0.0001,8,98.3,0.9674840854979984,0.7397428528483972,,0.1856372557007349,0.201204645805634,0.5450695345128588,0.1151715216155235,0.0895951358744731,0.2307692307692307,False
lora,UNI,lunghist700,1.0,456,483,7,1201159,0.394,10,0.0001,8,98.3,0.9558614813916888,0.7277658304033946,,0.2024147385874619,0.2231203033947027,0.5753649020492455,0.0621611298276827,0.0904494011058257,0.2307692307692307,False
lora,UNI,mhist,0.01,42,18,2,1196034,0.393,10,0.0001,8,21.7,0.7235503331532505,0.5935844785213219,0.2031151980751355,0.0555536859156897,0.0646299316701283,0.7071889789941841,0.0681292087281982,0.0750093317400957,0.7574206755373593,False
lora,UNI,mhist,0.01,123,18,2,1196034,0.393,10,0.0001,8,18.8,0.4444511975508735,0.3973765009046549,0.2639577629720289,0.1406819959806932,0.1485008178250206,2.082269907758982,0.0867547912936859,0.0937636618787459,0.9918116683725692,True
lora,UNI,mhist,0.01,456,18,2,1196034,0.393,10,0.0001,8,18.4,0.5601949396722492,0.3922869583246942,0.2547372653136764,0.151067518086736,0.1492429018600204,1.926673079826856,0.0490053071580377,0.0509490142276123,0.9959058341862844,True
lora,UNI,mhist,0.1,42,184,2,1196034,0.393,10,0.0001,8,81.6,0.7895146767513057,0.5601167515627801,0.1931767088825669,0.1092391844072446,0.1058451390292346,1.1912929306374462,0.1053695529584936,0.100688674249815,0.8761514841351075,False
