model,src,tgt,pair,fraction,seed,n_train,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature_src,ece_scaled_fixed,ece_scaled_adaptive,temperature_oracle,ece_scaled_oracle,degeneracy_share,degenerate
H-Optimus-0,MHIST,PCam,MHIST->PCam,0.25,42,461,0.5456094210403473,0.3334282633902236,0.4272391072168824,0.4218527728103323,0.4215776690673201,1.3700973199055992,0.4722463070189174,0.4721766947568774,9.999996267536291,0.1229191665078515,1.0,True
H-Optimus-0,MHIST,PCam,MHIST->PCam,0.25,123,461,0.5715045295794381,0.3334282633902236,0.4228692725963901,0.4180481479303513,0.4176956442360528,1.380245888323986,0.4695180088220934,0.4694140948870553,9.99999622055119,0.1201982914927967,1.0,True
H-Optimus-0,MHIST,PCam,MHIST->PCam,0.25,456,461,0.5266453355760181,0.3334282633902236,0.4308376986175911,0.4274975638343359,0.4247402254252806,1.337016950007934,0.4771232173010645,0.4761167274444527,9.999996297769112,0.1378877649382806,1.0,True
H-Optimus-0,MHIST,PCam,MHIST->PCam,0.5,42,924,0.554007784077456,0.3334282633902236,0.4702414541790468,0.4697246472697622,0.4695463945915141,1.3747853903402638,0.4929276941473708,0.4928684006245617,9.999993067034358,0.1721189502960717,1.0,True
H-Optimus-0,MHIST,PCam,MHIST->PCam,0.5,123,924,0.5649557995901785,0.3334282633902236,0.4650197149570022,0.4646380094580754,0.46418470702701,1.3459561686619637,0.4919533405446493,0.4918176746715291,9.999996487646028,0.1652405948626213,1.0,True
H-Optimus-0,MHIST,PCam,MHIST->PCam,0.5,456,924,0.5096920280713938,0.3334282633902236,0.4612688889112757,0.4594111951186057,0.4586279549749071,1.320619757994506,0.4908963254523816,0.4906823226046268,9.999996489876956,0.1594358658830567,1.0,True
H-Optimus-0,MHIST,PCam,MHIST->PCam,1.0,42,1849,0.5612062048133613,0.3334282633902236,0.4876040910471929,0.4878179837068306,0.4874664253691056,1.3543623242927207,0.4980293852785281,0.498029385278528,9.999993362669684,0.2206796340904672,1.0,True
H-Optimus-0,MHIST,PCam,MHIST->PCam,1.0,123,1849,0.5612062048133613,0.3334282633902236,0.4876040910471929,0.4878179837068306,0.4874664253691056,1.3543623242927207,0.4980293852785281,0.498029385278528,9.999993362669684,0.2206796340904672,1.0,True
H-Optimus-0,MHIST,PCam,MHIST->PCam,1.0,456,1849,0.5612062048133613,0.3334282633902236,0.4876040910471929,0.4878179837068306,0.4874664253691056,1.3543623242927207,0.4980293852785281,0.498029385278528,9.999993362669684,0.2206796340904672,1.0,True
H-Optimus-0,PCam,MHIST,PCam->MHIST,0.01,42,2620,0.6026472177201513,0.3870765370138017,0.2960030818985268,0.2604347282449744,0.2569146629399512,1.322209629484738,0.3243908138216078,0.3220976914752229,7.459009729553602,0.0561753567581118,1.0,True
