model,src,tgt,pair,fraction,seed,n_train,n_val_full,n_val_prop,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature_src,ece_scaled_fixed,ece_scaled_adaptive,temperature_prop,ece_scaled_prop,degeneracy_share,degenerate
MIDNIGHT,4,0,h4->h0,0.25,456,3500,3000,750,0.9959582222222224,0.9599421564739484,0.0306182446710919,0.0659485586352925,0.0657663117485368,1.2802505658494991,0.0398228677055987,0.0402889555421706,1.338101165442187,0.0399394552359529,0.538,False
MIDNIGHT,4,0,h4->h0,0.5,42,7000,3000,1500,0.9968728888888888,0.9689795644263872,0.0234938800280636,0.0460624425898606,0.0468424372986756,1.3415266800412609,0.0253408994415086,0.0271189638993734,1.3603968108519815,0.0252502062261079,0.5256666666666666,False
MIDNIGHT,4,0,h4->h0,0.5,123,7000,3000,1500,0.9968937777777775,0.965299264922762,0.0254585085301624,0.0477357386701522,0.0484730555459297,1.3766361922135022,0.031113434276994,0.0323852317143925,1.350897212255611,0.031158826407223,0.5313333333333333,False
MIDNIGHT,4,0,h4->h0,0.5,456,7000,3000,1500,0.9966622222222222,0.9666379604851107,0.025099219354632,0.0495741147446159,0.0487349987003494,1.3687331499204147,0.0287309570760317,0.0306607928660066,1.405355300810493,0.028593413648446,0.5293333333333333,False
MIDNIGHT,4,0,h4->h0,1.0,42,14000,3000,3000,0.9970075555555556,0.9686465447158088,0.0222736554753226,0.0388430562486022,0.0381866593727384,1.4408726665114358,0.0220862828039911,0.0248839210230423,1.4408726665114358,0.0220862828039911,0.5253333333333333,False
MIDNIGHT,4,0,h4->h0,1.0,123,14000,3000,3000,0.9970075555555556,0.9686465447158088,0.0222736554753226,0.0388430562486022,0.0381866593727384,1.4408726665114358,0.0220862828039911,0.0248839210230423,1.4408726665114358,0.0220862828039911,0.5253333333333333,False
MIDNIGHT,4,0,h4->h0,1.0,456,14000,3000,3000,0.9970075555555556,0.9686465447158088,0.0222736554753226,0.0388430562486022,0.0381866593727384,1.4408726665114358,0.0220862828039911,0.0248839210230423,1.4408726665114358,0.0220862828039911,0.5253333333333333,False
MIDNIGHT,4,1,h4->h1,0.01,42,140,3000,30,0.98292,0.8803905350394914,0.1090093010156047,0.2230429072043643,0.2243511779120778,0.5231958166140512,0.1206898539727206,0.1208831214439658,0.1000036141666664,0.1159201087947497,0.616,False
MIDNIGHT,4,1,h4->h1,0.01,123,140,3000,30,0.986196,0.8962962962962963,0.0991102596834093,0.2123653109824925,0.2124588664472121,0.5587218337450778,0.1065717533575675,0.1066586105834697,0.407087734583171,0.1047880665290734,0.6,False
MIDNIGHT,4,1,h4->h1,0.01,456,140,3000,30,0.9732333333333332,0.8355081481603074,0.1253861288788048,0.2094795852667467,0.2099646737810208,0.6544722983093116,0.1693453955618583,0.1694636367868075,0.1000052749944835,0.1591346548206642,0.659,False
MIDNIGHT,4,1,h4->h1,0.05,42,700,3000,150,0.9864462222222224,0.8914469647627408,0.0804521143702335,0.1407613330128393,0.1418541895463906,0.8872261030968421,0.1126124788612194,0.1128681911252486,0.8656667126687578,0.1124733262827729,0.606,False
MIDNIGHT,4,1,h4->h1,0.05,123,700,3000,150,0.9867506666666668,0.8862823309400132,0.0818100554485371,0.1468602944167048,0.1471934007771076,0.9176655409747912,0.1153477398108664,0.1154372294750784,0.4460672473835603,0.1114788621792043,0.6103333333333333,False
MIDNIGHT,4,1,h4->h1,0.05,456,700,3000,150,0.9833822222222224,0.87584897145778,0.0893030649210536,0.1467208557092873,0.1493623103801698,0.979038278791104,0.125797575350286,0.1258894123973733,1.0885082245348474,0.1264979788044778,0.621,False
MIDNIGHT,4,1,h4->h1,0.1,42,1400,3000,300,0.9875746666666666,0.8942036635631577,0.075331076694763,0.1236966227744214,0.1280933226161305,1.0400176013024371,0.1072620949833276,0.1076898243002536,1.161391970478205,0.1076004406213564,0.6033333333333334,False
MIDNIGHT,4,1,h4->h1,0.1,123,1400,3000,300,0.9864706666666668,0.8765457013720563,0.0856867625937995,0.1399583295311259,0.1402715435067979,1.0961305290932808,0.1256034650296485,0.1256849835546637,1.0717817809665071,0.1254720723658142,0.6203333333333333,False
MIDNIGHT,4,1,h4->h1,0.1,456,1400,3000,300,0.984898222222222,0.8737567322691668,0.0887613945558532,0.1426250020054944,0.1425091779273916,1.1338350888704354,0.1287437192996814,0.1291943965777298,1.3456994588556013,0.1292573152216041,0.623,False
MIDNIGHT,4,1,h4->h1,0.25,42,3500,3000,750,0.9881355555555555,0.905197592422262,0.0678151351298609,0.1074385540607803,0.1073496419904827,1.1997038823328017,0.0960266633377746,0.0960266633377747,1.3220874581337545,0.0962346629273895,0.592,False
MIDNIGHT,4,1,h4->h1,0.25,123,3500,3000,750,0.9875248888888888,0.8852269535722773,0.08000796607615,0.1204350044893174,0.1235941313467732,1.2778868065976825,0.1170833680077538,0.1174395360489643,1.1953090378054023,0.116701709234874,0.612,False
MIDNIGHT,4,1,h4->h1,0.25,456,3500,3000,750,0.9879231111111112,0.8921518448100996,0.0740947126410171,0.114250665552954,0.1158695334609746,1.2802505658494991,0.1078506262481537,0.1078506262481536,1.338101165442187,0.1080045268972097,0.6046666666666667,False
MIDNIGHT,4,1,h4->h1,0.5,42,7000,3000,1500,0.9888373333333332,0.912386697145205,0.0626507558181633,0.0949674835841104,0.0944585262786368,1.3415266800412609,0.0884998158384168,0.0884998158384169,1.3603968108519815,0.0885379279226915,0.5836666666666667,False
MIDNIGHT,4,1,h4->h1,0.5,123,7000,3000,1500,0.9888364444444444,0.9055279168367744,0.0683427578364832,0.0990573282161748,0.1031276383775119,1.3766361922135022,0.0988713268352158,0.0988713268352158,1.350897212255611,0.0987758689784704,0.5923333333333334,False
MIDNIGHT,4,1,h4->h1,0.5,456,7000,3000,1500,0.988908888888889,0.9110238137207994,0.064000640748643,0.0960845663372199,0.0975858989219218,1.3687331499204147,0.0916079905171144,0.0916079905171144,1.405355300810493,0.0917023659406401,0.585,False
MIDNIGHT,4,1,h4->h1,1.0,42,14000,3000,3000,0.9889546666666668,0.925980928534084,0.0563587503593722,0.0805425015039289,0.0820952670927831,1.4408726665114358,0.0766063345448537,0.0768787937822007,1.4408726665114358,0.0766063345448537,0.569,False
MIDNIGHT,4,1,h4->h1,1.0,123,14000,3000,3000,0.9889546666666668,0.925980928534084,0.0563587503593722,0.0805425015039289,0.0820952670927831,1.4408726665114358,0.0766063345448537,0.0768787937822007,1.4408726665114358,0.0766063345448537,0.569,False
MIDNIGHT,4,1,h4->h1,1.0,456,14000,3000,3000,0.9889546666666668,0.925980928534084,0.0563587503593722,0.0805425015039289,0.0820952670927831,1.4408726665114358,0.0766063345448537,0.0768787937822007,1.4408726665114358,0.0766063345448537,0.569,False
MIDNIGHT,4,2,h4->h2,0.01,42,140,3000,30,0.9805004444444444,0.890034815562075,0.1088361675057294,0.2369729417923481,0.2358354717388633,0.5231958166140512,0.1212858796646436,0.1212858796646437,0.1000036141666664,0.1116562830766428,0.6086666666666667,False
MIDNIGHT,4,2,h4->h2,0.01,123,140,3000,30,0.9813586666666668,0.8883069778668973,0.1079693282538962,0.2390108654432391,0.2374990974604363,0.5587218337450778,0.1225300824181723,0.1225300824181723,0.407087734583171,0.1202716727298145,0.6103333333333333,False
MIDNIGHT,4,2,h4->h2,0.01,456,140,3000,30,0.9625453333333334,0.8497533194806576,0.1220721789133046,0.2194674800345038,0.2230327756536274,0.6544722983093116,0.1495458848988243,0.1495458848988243,0.1000052749944835,0.1473999453139699,0.647,False
MIDNIGHT,4,2,h4->h2,0.05,42,700,3000,150,0.9846751111111112,0.8945184531485006,0.0790783351322828,0.1441351270418135,0.1439634275692731,0.8872261030968421,0.1135225101776563,0.1135225101776563,0.8656667126687578,0.1133821368318149,0.6043333333333333,False
MIDNIGHT,4,2,h4->h2,0.05,123,700,3000,150,0.987922222222222,0.8952071478384537,0.0782453611247486,0.1534729710110832,0.1517180391456758,0.9176655409747912,0.1144226200449293,0.1144226200449293,0.4460672473835603,0.1080241006040968,0.6036666666666667,False
MIDNIGHT,4,2,h4->h2,0.05,456,700,3000,150,0.9814168888888888,0.8921057363783492,0.0809670748099893,0.1401341775290282,0.1396999954482886,0.979038278791104,0.1147880427763302,0.1147880427763302,1.0885082245348474,0.1148066477017354,0.6066666666666667,False
MIDNIGHT,4,2,h4->h2,0.1,42,1400,3000,300,0.9888204444444444,0.9116543578083608,0.0656454847250091,0.1214067007648445,0.1220026117540223,1.0400176013024371,0.0948136009590121,0.0948136009590121,1.161391970478205,0.0949619362614673,0.5876666666666667,False
MIDNIGHT,4,2,h4->h2,0.1,123,1400,3000,300,0.98988,0.901049681137646,0.0722660805112285,0.1285741709492898,0.1333068835524365,1.0961305290932808,0.1094695383975399,0.1098956947864227,1.0717817809665071,0.1092421539624907,0.598,False
MIDNIGHT,4,2,h4->h2,0.1,456,1400,3000,300,0.9873075555555556,0.8883069778668973,0.0786222021027387,0.1327114130881574,0.1329465053880236,1.1338350888704354,0.118620633498517,0.118620633498517,1.3456994588556013,0.1190663580362449,0.6103333333333333,False
MIDNIGHT,4,2,h4->h2,0.25,42,3500,3000,750,0.9922528888888889,0.9245757385292268,0.0541423424261792,0.0919204897972888,0.0939013022256502,1.1997038823328017,0.0799340775558999,0.0801580899561128,1.3220874581337545,0.0801597806075209,0.575,False
MIDNIGHT,4,2,h4->h2,0.25,123,3500,3000,750,0.9922257777777777,0.9164242466350688,0.0599408302773559,0.1025300491124808,0.1023439591152608,1.2778868065976825,0.0917603312034791,0.0917603312034791,1.1953090378054023,0.0911853729784889,0.583,False
MIDNIGHT,4,2,h4->h2,0.25,456,3500,3000,750,0.9907533333333334,0.9000200969704069,0.0682166068711363,0.1122721554390188,0.1119519056866003,1.2802505658494991,0.1043692837748634,0.1043692837748634,1.338101165442187,0.1045891071864639,0.599,False
MIDNIGHT,4,2,h4->h2,0.5,42,7000,3000,1500,0.993572888888889,0.9387721712492184,0.0461691498318853,0.0757340871485075,0.0753976234028053,1.3415266800412609,0.0685667371880889,0.0686607933377823,1.3603968108519815,0.0686133097883187,0.561,False
MIDNIGHT,4,2,h4->h2,0.5,123,7000,3000,1500,0.9943786666666669,0.9272862200908732,0.050034502956071,0.083290677211157,0.0853512225097233,1.3766361922135022,0.0771485087077373,0.077274329516134,1.350897212255611,0.0770112515979378,0.5723333333333334,False
