model,dataset,fraction,mean,std,min,max
MIDNIGHT,LungHist700,0.05,0.8216573028165066,0.05471787165212799,0.7676284211360932,0.87703907409882
MIDNIGHT,LungHist700,0.1,0.8623333798427102,0.022018202385931104,0.8481491447575262,0.8876986154168259
MIDNIGHT,LungHist700,0.25,0.8983472266631974,0.016754175504580995,0.8808984152363798,0.9143074206323404
MIDNIGHT,LungHist700,0.5,0.9151711431481999,0.012023544568279268,0.9012887487774366,0.9222703557959492
MIDNIGHT,LungHist700,1.0,0.9460658957717402,0.0,0.9460658957717402,0.9460658957717402
MIDNIGHT,MHIST,0.01,0.49919412929947776,0.07871670711475016,0.4122051143526022,0.5655141365027913
MIDNIGHT,MHIST,0.05,0.6173689897352782,0.06211710873556337,0.5567981271384836,0.6809247253736719
MIDNIGHT,MHIST,0.1,0.6685710426796326,0.020729286918368055,0.6469611021069692,0.6882901134521879
MIDNIGHT,MHIST,0.25,0.6906176841347019,0.022473075109121055,0.6657932649018549,0.7095759049162615
MIDNIGHT,MHIST,0.5,0.7119484963083019,0.011710546867552001,0.6985233207275346,0.7200612281649559
MIDNIGHT,MHIST,1.0,0.7383261300198093,0.0,0.7383261300198092,0.7383261300198092
MIDNIGHT,PCam,0.01,0.9461685084884003,0.006008007909109738,0.9392316193221112,0.9497133438883492
MIDNIGHT,PCam,0.05,0.9567592710798145,0.0016821755419997087,0.9556278319126508,0.9586923233267808
MIDNIGHT,PCam,0.1,0.9566371821185768,0.002098697957470023,0.9544545552442714,0.9586404374740326
MIDNIGHT,PCam,0.25,0.9567336000996818,0.0009377805367891315,0.9556589902463948,0.9573864151236948
MIDNIGHT,PCam,0.5,0.9549784689916111,0.001568735944444813,0.9534617875502542,0.9565945337456918
MIDNIGHT,PCam,1.0,0.9534379270615373,0.0,0.9534379270615372,0.9534379270615372
MIDNIGHT,SPIDER-Breast,0.01,0.9501060182096676,0.0021478746434321987,0.9476432881293396,0.951591520806058
MIDNIGHT,SPIDER-Breast,0.05,0.9738110770652678,0.0007141500012502956,0.9731568877282162,0.9745729561145524
MIDNIGHT,SPIDER-Breast,0.1,0.9795181539169912,0.0004690283449539262,0.9790856550362208,0.980016708382074
MIDNIGHT,SPIDER-Breast,0.25,0.9844765668836802,0.00018277848342802206,0.9842713457812776,0.984621852935473
MIDNIGHT,SPIDER-Breast,0.5,0.9872048977761,0.0001063837393951938,0.9870820579052898,0.9872668417460412
MIDNIGHT,SPIDER-Breast,1.0,0.9890044041628118,0.0,0.9890044041628118,0.9890044041628118
PLIP,BRACS,0.01,0.7284771416491291,0.04552157774519856,0.6782269658704332,0.7669590224196211
PLIP,BRACS,0.05,0.8038182290745216,0.016487475047666733,0.7911151407653491,0.8224502656461267
PLIP,BRACS,0.1,0.8239260648762795,0.006605099964171082,0.8163022216422565,0.8279253532298672
PLIP,BRACS,0.25,0.8361349685887881,0.005701197154937979,0.8322360784889582,0.842678174733009
PLIP,BRACS,0.5,0.8455337622619351,0.0033907136010182053,0.8416856339680444,0.8480830225376655
PLIP,BRACS,1.0,0.856587673169057,0.0,0.856587673169057,0.856587673169057
PLIP,CRC,0.01,0.9960008341429091,0.00019803096219213052,0.9958767148604402,0.9962292129495344
PLIP,CRC,0.05,0.9976718059652789,2.156659070391227e-05,0.9976470370665363,0.9976864251575664
PLIP,CRC,0.1,0.998155085565315,1.656175178031004e-05,0.9981363802532476,0.9981678842476658
PLIP,CRC,0.25,0.9986530545451138,2.4061568201017723e-05,0.9986271586273304,0.998674720883781
PLIP,CRC,0.5,0.9989412106059538,1.7974439153595946e-05,0.9989208030693614,0.998954690011678
PLIP,CRC,1.0,0.9991666117025452,0.0,0.9991666117025452,0.9991666117025452
PLIP,LungHist700,0.01,0.7624613886806659,0.03305326500727606,0.7244925228350151,0.7848062155443036
PLIP,LungHist700,0.05,0.8474709085949453,0.020017949171174585,0.8267458914434879,0.8666975887097168
PLIP,LungHist700,0.1,0.8760928273474713,0.012529670031652321,0.8659669212375893,0.8901052021821966
PLIP,LungHist700,0.25,0.8960891558904108,0.02050495806729644,0.8822323143551426,0.9196441897329148
PLIP,LungHist700,0.5,0.9036981086794643,0.011804866022916543,0.8951784996420306,0.9171729584072926
PLIP,LungHist700,1.0,0.9220359017533605,0.0,0.9220359017533604,0.9220359017533604
PLIP,MHIST,0.01,0.7036136622846509,0.06072925968100553,0.6336214658743021,0.7423329731676571
PLIP,MHIST,0.05,0.7565700222102167,0.01911466842094114,0.7451692778678193,0.7786376733297318
PLIP,MHIST,0.1,0.7793655081337416,0.006391179841165357,0.7720691518098325,0.7839726274086081
PLIP,MHIST,0.25,0.7939492166396542,0.005511022181016883,0.7890149468755627,0.7998964523680893
PLIP,MHIST,0.5,0.8063134041659165,0.007188644816680264,0.7989150009004142,0.8132721051683774
PLIP,MHIST,1.0,0.8291644156311905,0.0,0.8291644156311905,0.8291644156311905
