model,dataset,fraction,C,auroc,ece
GigaPath,BRACS,1.0,0.1,0.8705080843032128,0.19091935276007307
GigaPath,BRACS,1.0,1.0,0.8982040556571903,0.06602987302652273
GigaPath,BRACS,1.0,10.0,0.901559568534228,0.10010192551154994
GigaPath,BRACS,1.0,100.0,0.8898970015333344,0.21568776499200273
H-Optimus-0,MHIST,0.01,0.01,0.7003916801728796,0.09062460558112963
H-Optimus-0,MHIST,0.01,0.1,0.7007488444684554,0.08973898635862933
H-Optimus-0,MHIST,0.01,1.0,0.7012260639894351,0.1319819240733662
H-Optimus-0,MHIST,0.01,10.0,0.6984557896632451,0.09099270172428209
H-Optimus-0,MHIST,0.01,100.0,0.6906461972507353,0.1337666403170691
H-Optimus-0,MHIST,0.1,0.01,0.7768038297616903,0.08501905851203993
H-Optimus-0,MHIST,0.1,0.1,0.7817951257578487,0.16197742405298324
H-Optimus-0,MHIST,0.1,1.0,0.8119109790503632,0.12622036853546215
H-Optimus-0,MHIST,0.1,10.0,0.8575379674650337,0.06201363182343109
H-Optimus-0,MHIST,0.1,100.0,0.8599180623086621,0.06293948760295565
H-Optimus-0,MHIST,1.0,0.01,0.7926075994957681,0.16068188681005816
H-Optimus-0,MHIST,1.0,0.1,0.8275976949396723,0.13662233308082017
H-Optimus-0,MHIST,1.0,1.0,0.8848370250315144,0.08425990515624648
H-Optimus-0,MHIST,1.0,10.0,0.9169773095623986,0.041065280683285216
H-Optimus-0,MHIST,1.0,100.0,0.9122276247073654,0.046422725490257076
H-Optimus-0,LungHist700,0.01,0.01,0.638750629121245,0.20921524358077936
H-Optimus-0,LungHist700,0.01,0.1,0.6388783381748859,0.184098143069688
H-Optimus-0,LungHist700,0.01,1.0,0.6407132246130499,0.16069613697488896
H-Optimus-0,LungHist700,0.01,10.0,0.651243987929412,0.07995173318064826
H-Optimus-0,LungHist700,0.01,100.0,0.6581651703992749,0.13883198449513745
H-Optimus-0,LungHist700,0.1,0.01,0.7840086286168454,0.031943236963862844
H-Optimus-0,LungHist700,0.1,0.1,0.7885609724663997,0.03307341286796429
H-Optimus-0,LungHist700,0.1,1.0,0.824731181306058,0.15267465635259564
H-Optimus-0,LungHist700,0.1,10.0,0.8810846104040467,0.15392060298316224
H-Optimus-0,LungHist700,0.1,100.0,0.8853523442454581,0.12012777524531397
