model,src,tgt,pair,fraction,seed,C,n_train,auroc,f1_macro,brier,ece_fixed,temperature_src,ece_scaled_fixed,degeneracy_share
CLIP,BRACS,CRC,BRACS->CRC,1.0,456,100.0,3657,0.6141882611088005,0.4934520886665096,0.247475156966395,0.2304527448745411,2.3156045645592225,0.2161766777977296,0.6759333333333334
CLIP,CRC,BRACS,CRC->BRACS,0.01,42,0.01,699,0.4680464778503994,0.4171779141104294,0.2215805046667085,0.1345752825228221,1.9211766311053655,0.1434211117766147,1.0
CLIP,CRC,BRACS,CRC->BRACS,0.01,42,0.1,699,0.4920570079883805,0.4171779141104294,0.2129534404307678,0.0971670391275959,1.800898995476544,0.1228674831474903,1.0
CLIP,CRC,BRACS,CRC->BRACS,0.01,42,1.0,699,0.5599431130476883,0.4153846153846154,0.2056905192756108,0.0717566513516979,1.4663267497408907,0.0556523827303403,0.9947368421052633
CLIP,CRC,BRACS,CRC->BRACS,0.01,42,10.0,699,0.6330186395545874,0.5425434878601426,0.244961733371113,0.2038154882537493,1.2099975836318506,0.2172147510034518,0.5035087719298246
CLIP,CRC,BRACS,CRC->BRACS,0.01,42,100.0,699,0.6655924715565239,0.5772134981623789,0.2459387921465467,0.1844562758717748,1.4741207134120933,0.2275767576864535,0.5649122807017544
CLIP,CRC,BRACS,CRC->BRACS,0.01,123,0.01,699,0.462751149842653,0.4171779141104294,0.2213661465740909,0.1337181617908572,1.9169587202311928,0.1430539340038981,1.0
CLIP,CRC,BRACS,CRC->BRACS,0.01,123,0.1,699,0.4876845800048414,0.4171779141104294,0.2120672012225774,0.0918508355575213,1.7852931672247685,0.1199329729342213,1.0
CLIP,CRC,BRACS,CRC->BRACS,0.01,123,1.0,699,0.5581124425078674,0.4281641058134009,0.2089635474796987,0.0791774928594346,1.453189266820065,0.0583835154434366,0.9736842105263158
CLIP,CRC,BRACS,CRC->BRACS,0.01,123,10.0,699,0.6277384410554344,0.5213145987139796,0.2639162796818088,0.2453327416852324,1.2729882274091937,0.2612478363183345,0.5824561403508772
CLIP,CRC,BRACS,CRC->BRACS,0.01,123,100.0,699,0.6270878721859114,0.5737432488574989,0.2546463652923256,0.2227745871825315,1.5540370018747935,0.2297092312191575,0.5561403508771929
CLIP,CRC,BRACS,CRC->BRACS,0.01,456,0.01,699,0.4518125151295086,0.4171779141104294,0.2214742965782756,0.1340648052699294,1.917530094563185,0.1433316883724989,1.0
CLIP,CRC,BRACS,CRC->BRACS,0.01,456,0.1,699,0.4731905107722101,0.4171779141104294,0.212648828285685,0.0938711474029738,1.7821966619388618,0.1214136891062488,1.0
CLIP,CRC,BRACS,CRC->BRACS,0.01,456,1.0,699,0.5327856451222464,0.4180040361330002,0.2107515175988947,0.0820682821296591,1.401677443004091,0.0779590982647314,0.9824561403508772
CLIP,CRC,BRACS,CRC->BRACS,0.01,456,10.0,699,0.5876452432824981,0.4993396790591049,0.2811820862284361,0.2560742632871978,1.1340165309212078,0.2910721942702243,0.6070175438596491
CLIP,CRC,BRACS,CRC->BRACS,0.01,456,100.0,699,0.6001724763979666,0.4819953729232835,0.3605316547266141,0.3537314041611218,1.3722912037059176,0.3921222518837022,0.6859649122807018
CLIP,CRC,BRACS,CRC->BRACS,0.1,42,0.01,6999,0.478637133865892,0.4171779141104294,0.2126543445548909,0.0945313240107232,1.7846586224556955,0.1222335968084684,1.0
CLIP,CRC,BRACS,CRC->BRACS,0.1,42,0.1,6999,0.5503207455821835,0.415983606557377,0.2066258456110513,0.0648799220637501,1.4192145628187944,0.0534377800180299,0.9964912280701754
CLIP,CRC,BRACS,CRC->BRACS,0.1,42,1.0,6999,0.6333817477608327,0.544023534269199,0.2405784098602536,0.1994955485784411,1.0939294332337544,0.2160678028931968,0.5017543859649123
CLIP,CRC,BRACS,CRC->BRACS,0.1,42,10.0,6999,0.6563029532800776,0.5879054054054054,0.2353404564350633,0.1747811921402804,1.1804057063246307,0.2256713673140239,0.5824561403508772
CLIP,CRC,BRACS,CRC->BRACS,0.1,42,100.0,6999,0.6693899782135077,0.6204253971225041,0.2323082441335748,0.182703114029066,1.7051536148380568,0.1990453462622028,0.6649122807017543
CLIP,CRC,BRACS,CRC->BRACS,0.1,123,0.01,6999,0.4814058339385136,0.4171779141104294,0.2125023819009997,0.0939432570732396,1.785122345707848,0.121130419733762,1.0
CLIP,CRC,BRACS,CRC->BRACS,0.1,123,0.1,6999,0.5559337932703947,0.4153846153846154,0.2068812282572387,0.0677751347502244,1.4254926132339596,0.0452903702060345,0.9947368421052633
CLIP,CRC,BRACS,CRC->BRACS,0.1,123,1.0,6999,0.6326555313483417,0.5275007593398805,0.2474515186210441,0.2161339765967561,1.0979329850371518,0.2356853204940143,0.5508771929824562
CLIP,CRC,BRACS,CRC->BRACS,0.1,123,10.0,6999,0.6597827402565964,0.5713669177652229,0.2465176830758883,0.2029414931936473,1.210950896632465,0.2439367965174542,0.5263157894736842
CLIP,CRC,BRACS,CRC->BRACS,0.1,123,100.0,6999,0.6475732268215929,0.603381283068783,0.2540364237188201,0.2201886126114751,1.6650880763090596,0.2356410521183101,0.6105263157894737
CLIP,CRC,BRACS,CRC->BRACS,0.1,456,0.01,6999,0.4831608569353667,0.4171779141104294,0.212547614354864,0.0943450554741139,1.7882282728404555,0.1211456428208225,1.0
CLIP,CRC,BRACS,CRC->BRACS,0.1,456,0.1,6999,0.5547688211086903,0.4141829393627955,0.2070155790850544,0.0688803238264425,1.4320351556293782,0.0433479912232485,0.9912280701754386
CLIP,CRC,BRACS,CRC->BRACS,0.1,456,1.0,6999,0.6307643427741467,0.52759106422001,0.2517224565695077,0.2224649350888469,1.1074436502368032,0.2412109408086962,0.5631578947368421
CLIP,CRC,BRACS,CRC->BRACS,0.1,456,10.0,6999,0.6562424352457031,0.5490970364272484,0.2574749478177278,0.2215679091152342,1.2364210674477496,0.249650002944987,0.5087719298245614
CLIP,CRC,BRACS,CRC->BRACS,0.1,456,100.0,6999,0.6633533042846768,0.6100047059765903,0.272245741442666,0.2506917864766176,1.967348588441301,0.2523055404318664,0.5631578947368421
CLIP,CRC,BRACS,CRC->BRACS,1.0,42,0.01,70000,0.5598523359961268,0.4153846153846154,0.2063237651985299,0.0674149478757243,1.420955860653439,0.0476140103180398,0.9947368421052633
CLIP,CRC,BRACS,CRC->BRACS,1.0,42,0.1,70000,0.6363773904623578,0.5314805822931841,0.244974688491376,0.211245675391824,1.073259739711927,0.2399298708757081,0.5421052631578948
CLIP,CRC,BRACS,CRC->BRACS,1.0,42,1.0,70000,0.6608115468409586,0.5743203406485424,0.2473426340192596,0.2044353178583327,1.1738681019683628,0.2507175096227638,0.5298245614035088
CLIP,CRC,BRACS,CRC->BRACS,1.0,42,10.0,70000,0.63740619704672,0.582974358974359,0.2605099177061321,0.2218643338261261,1.532995308711442,0.2508032831474147,0.6
CLIP,CRC,BRACS,CRC->BRACS,1.0,42,100.0,70000,0.662142943597192,0.6048951884695365,0.2685558236109076,0.2512093865440881,2.1361412843631946,0.2443326876540035,0.5982456140350877
CLIP,CRC,BRACS,CRC->BRACS,1.0,123,0.01,70000,0.5598523359961268,0.4153846153846154,0.2063237651985299,0.0674149478757243,1.420955860653439,0.0476140103180398,0.9947368421052633
CLIP,CRC,BRACS,CRC->BRACS,1.0,123,0.1,70000,0.6363773904623578,0.5314805822931841,0.244974688491376,0.211245675391824,1.073259739711927,0.2399298708757081,0.5421052631578948
CLIP,CRC,BRACS,CRC->BRACS,1.0,123,1.0,70000,0.6608115468409586,0.5743203406485424,0.2473426340192596,0.2044353178583327,1.1738681019683628,0.2507175096227638,0.5298245614035088
CLIP,CRC,BRACS,CRC->BRACS,1.0,123,10.0,70000,0.63740619704672,0.582974358974359,0.2605099177061321,0.2218643338261261,1.532995308711442,0.2508032831474147,0.6
CLIP,CRC,BRACS,CRC->BRACS,1.0,123,100.0,70000,0.662142943597192,0.6048951884695365,0.2685558236109076,0.2512093865440881,2.1361412843631946,0.2443326876540035,0.5982456140350877
CLIP,CRC,BRACS,CRC->BRACS,1.0,456,0.01,70000,0.5598523359961268,0.4153846153846154,0.2063237651985299,0.0674149478757243,1.420955860653439,0.0476140103180398,0.9947368421052633
CLIP,CRC,BRACS,CRC->BRACS,1.0,456,0.1,70000,0.6363773904623578,0.5314805822931841,0.244974688491376,0.211245675391824,1.073259739711927,0.2399298708757081,0.5421052631578948
CLIP,CRC,BRACS,CRC->BRACS,1.0,456,1.0,70000,0.6608115468409586,0.5743203406485424,0.2473426340192596,0.2044353178583327,1.1738681019683628,0.2507175096227638,0.5298245614035088
CLIP,CRC,BRACS,CRC->BRACS,1.0,456,10.0,70000,0.63740619704672,0.582974358974359,0.2605099177061321,0.2218643338261261,1.532995308711442,0.2508032831474147,0.6
CLIP,CRC,BRACS,CRC->BRACS,1.0,456,100.0,70000,0.662142943597192,0.6048951884695365,0.2685558236109076,0.2512093865440881,2.1361412843631946,0.2443326876540035,0.5982456140350877
CLIP,MHIST,PCam,MHIST->PCam,0.01,42,0.01,18,0.6583531732086296,0.3334282633902236,0.2992007329247401,0.2218754921004877,2.5192841774436063,0.1807125222213489,1.0
CLIP,MHIST,PCam,MHIST->PCam,0.01,42,0.1,18,0.6587942104075712,0.3334282633902236,0.2984391071963684,0.2207238245845654,2.511756762403864,0.180214606567919,1.0
CLIP,MHIST,PCam,MHIST->PCam,0.01,42,1.0,18,0.6571666158779121,0.3334282633902236,0.2910660623567649,0.2104078697032808,2.4439630143303144,0.174620667491181,1.0
CLIP,MHIST,PCam,MHIST->PCam,0.01,42,10.0,18,0.6494605050368785,0.385519478158054,0.2475108699368846,0.1294488062310742,2.302472579639935,0.1234522977455149,0.959930419921875
CLIP,MHIST,PCam,MHIST->PCam,0.01,42,100.0,18,0.6311311495506253,0.5705006636537137,0.2748353675623241,0.1738344040879157,3.72156193626203,0.0964341699676526,0.742156982421875
CLIP,MHIST,PCam,MHIST->PCam,0.01,123,0.01,18,0.6920198683029918,0.3334282633902236,0.2992162039929689,0.2219361642892704,2.519392376030028,0.1807575982085059,1.0
CLIP,MHIST,PCam,MHIST->PCam,0.01,123,0.1,18,0.6920264471668598,0.3334282633902236,0.2985823389289163,0.2213003178669815,2.5125964259759024,0.1806559521879153,1.0
CLIP,MHIST,PCam,MHIST->PCam,0.01,123,1.0,18,0.6923560497367621,0.3334282633902236,0.2926847818987743,0.2384641388766032,2.463583939762259,0.1787202959885545,1.0
CLIP,MHIST,PCam,MHIST->PCam,0.01,123,10.0,18,0.694394510333728,0.3339029947916667,0.2602062143057578,0.1855251119436513,2.6880849510733618,0.1568307178702572,0.999786376953125
CLIP,MHIST,PCam,MHIST->PCam,0.01,123,100.0,18,0.6954629982921738,0.6268466501778551,0.2302041518189223,0.0830543048728192,5.198354886129945,0.0701089820355107,0.5767822265625
CLIP,MHIST,PCam,MHIST->PCam,0.01,456,0.01,18,0.3763435350389525,0.3334282633902236,0.2994028972374847,0.2221541734349464,2.5189611617174674,0.1809732226083872,1.0
CLIP,MHIST,PCam,MHIST->PCam,0.01,456,0.1,18,0.3768365735746625,0.3334282633902236,0.3004707306986348,0.2235373760725315,2.509179232188064,0.1828097083485664,1.0
CLIP,MHIST,PCam,MHIST->PCam,0.01,456,1.0,18,0.378979461528337,0.3334282633902236,0.3103380768264007,0.2537205198270457,2.4245097970077616,0.2246984833831344,1.0
CLIP,MHIST,PCam,MHIST->PCam,0.01,456,10.0,18,0.3951162076022259,0.329921744403027,0.3734474832048021,0.3761646534763718,2.312679384214805,0.346608132230021,0.991790771484375
CLIP,MHIST,PCam,MHIST->PCam,0.01,456,100.0,18,0.420690050772624,0.3155859975301897,0.4780916700468145,0.4863534736718168,3.380792460728198,0.4077575199613543,0.953704833984375
CLIP,MHIST,PCam,MHIST->PCam,0.1,42,0.01,184,0.4540078053116145,0.3334282633902236,0.297505537451693,0.2177621041554125,2.439566393949259,0.1824572165499682,1.0
CLIP,MHIST,PCam,MHIST->PCam,0.1,42,0.1,184,0.454928041590281,0.3334282633902236,0.3006337820096778,0.2231615847813855,2.308234606907526,0.1967623056776477,1.0
CLIP,MHIST,PCam,MHIST->PCam,0.1,42,1.0,184,0.4685252977823451,0.3334282633902236,0.3227029964490971,0.2661749846603135,1.809278565938393,0.3009348778306845,1.0
CLIP,MHIST,PCam,MHIST->PCam,0.1,42,10.0,184,0.543376351242666,0.3327595174026789,0.3625661835332666,0.3340927601171483,1.824979389129731,0.3534086345980844,0.994873046875
CLIP,MHIST,PCam,MHIST->PCam,0.1,42,100.0,184,0.569322466465834,0.3818476850972466,0.3693929662396644,0.3426061230627532,3.0014416467250933,0.2701851149562208,0.926116943359375
CLIP,MHIST,PCam,MHIST->PCam,0.1,123,0.01,184,0.561732525098673,0.3334282633902236,0.2972756466505018,0.2175022293360913,2.4414201453191264,0.1821033437313185,1.0
CLIP,MHIST,PCam,MHIST->PCam,0.1,123,0.1,184,0.5649543131990781,0.3334282633902236,0.2985262129630684,0.2209843943282376,2.326083864536911,0.1934267702790968,1.0
CLIP,MHIST,PCam,MHIST->PCam,0.1,123,1.0,184,0.5924539455407982,0.3334282633902236,0.3089145271991382,0.2483905721216339,1.8566826897281723,0.2638328294437347,1.0
CLIP,MHIST,PCam,MHIST->PCam,0.1,123,10.0,184,0.640923505296006,0.3336045433121071,0.3558132913592637,0.3400665415830888,1.7590588985651143,0.3660137950807884,0.999664306640625
CLIP,MHIST,PCam,MHIST->PCam,0.1,123,100.0,184,0.6456963480976263,0.3359930225874418,0.4315658894715125,0.4375322188286404,2.558956161543727,0.4034410740224976,0.99755859375
CLIP,MHIST,PCam,MHIST->PCam,0.1,456,0.01,184,0.416804058191921,0.3334282633902236,0.2972796083293781,0.2172763258580749,2.443772342645489,0.1817459779211219,1.0
CLIP,MHIST,PCam,MHIST->PCam,0.1,456,0.1,184,0.4215394729950807,0.3334282633902236,0.2985679772170697,0.2189202155705141,2.346978932189701,0.1900144888239279,1.0
CLIP,MHIST,PCam,MHIST->PCam,0.1,456,1.0,184,0.4778700635419529,0.3334282633902236,0.307337888981892,0.238947686188686,1.9240479878928467,0.2455928594266753,1.0
CLIP,MHIST,PCam,MHIST->PCam,0.1,456,10.0,184,0.5958596587073925,0.3333875161903064,0.3377854832502853,0.3065177844526157,1.8389283570747417,0.324083331433128,0.999542236328125
CLIP,MHIST,PCam,MHIST->PCam,0.1,456,100.0,184,0.6233518479177376,0.3655948047043529,0.3698407356680828,0.3595085967740932,2.8897296033868027,0.2966180679627933,0.97381591796875
CLIP,MHIST,PCam,MHIST->PCam,1.0,42,0.01,1849,0.5069925741949534,0.3334282633902236,0.2982096761113764,0.2192882472512342,2.304648547416132,0.1934891173111168,1.0
CLIP,MHIST,PCam,MHIST->PCam,1.0,42,0.1,1849,0.5408331658721905,0.3334282633902236,0.3099559715515262,0.2468544119986042,1.811750682042576,0.2657585390214636,1.0
CLIP,MHIST,PCam,MHIST->PCam,1.0,42,1.0,1849,0.6281318991574014,0.3336991348410004,0.3392799215869682,0.3117107328497831,1.507202076686294,0.3690910565961031,0.99932861328125
