model,pair,lo,hi,delta,rises,monotone
PLIP,h2->h3,0.24670004710717644,0.1056679361587498,-0.14103211094842666,False,False
PLIP,h2->h4,0.2794884454340733,0.0752104106310459,-0.20427803480302742,False,False
PLIP,h3->h0,0.24603960295162394,0.0586093021329018,-0.18743030081872214,False,False
PLIP,h3->h1,0.20288315705159163,0.0999677737434354,-0.10291538330815622,False,False
PLIP,h3->h2,0.2331767975079658,0.0658163184804459,-0.16736047902751988,False,False
PLIP,h3->h4,0.2792509086301957,0.3068729997892271,0.027622091159031414,True,False
PLIP,h4->h0,0.25420694800019733,0.046083208360790405,-0.20812373963940692,False,False
PLIP,h4->h1,0.22722690024160105,0.0724565283884637,-0.15477037185313736,False,False
PLIP,h4->h2,0.24793166202156933,0.0369113409115303,-0.21102032111003902,False,False
PLIP,h4->h3,0.26586186913321225,0.0608625830430325,-0.20499928609017976,False,False
UNI,h0->h1,0.28296552733774344,0.0434555239178348,-0.23951000341990863,False,False
UNI,h0->h2,0.27843135294850563,0.0674147030119131,-0.21101664993659253,False,False
UNI,h0->h3,0.24479014747001704,0.0511871567142645,-0.19360299075575255,False,False
UNI,h0->h4,0.2884291620880379,0.09618415071393378,-0.19224501137410416,False,False
UNI,h1->h0,0.29272913595477773,0.07759015630155,-0.21513897965322773,False,False
UNI,h1->h2,0.3242947695573754,0.1340516006830015,-0.1902431688743739,False,False
UNI,h1->h3,0.2752097274971425,0.09043332047862522,-0.18477640701851727,False,False
UNI,h1->h4,0.32679959881255444,0.1606140797317866,-0.16618551908076784,False,False
UNI,h2->h0,0.27869560276485544,0.0406050942609081,-0.23809050850394733,False,False
UNI,h2->h1,0.3224805841654423,0.0864037060097685,-0.2360768781556738,False,False
UNI,h2->h3,0.28321083535004726,0.05076378677674579,-0.23244704857330148,False,False
UNI,h2->h4,0.3133507708427166,0.09055107412382861,-0.222799696718888,False,False
UNI,h3->h0,0.2563463495565197,0.06027595062321891,-0.19607039893330078,False,False
UNI,h3->h1,0.2646812111161904,0.0846580709668945,-0.18002314014929593,False,False
UNI,h3->h2,0.29805041652941644,0.1310348450203187,-0.16701557150909774,False,False
UNI,h3->h4,0.3198184807617357,0.279004297732887,-0.040814183028848705,False,False
UNI,h4->h0,0.2932114787717803,0.0948592297125554,-0.19835224905922488,False,False
UNI,h4->h1,0.34360166387094376,0.1441316817171812,-0.19946998215376258,False,False
UNI,h4->h2,0.3152037476729724,0.0764915778138207,-0.23871216985915167,False,False
UNI,h4->h3,0.33979172222048115,0.1505015199586089,-0.18929020226187226,False,False
VIRCHOW2,h0->h1,0.24838385660351084,0.0351628846325973,-0.21322097197091355,False,False
VIRCHOW2,h0->h2,0.21723109715354907,0.0295362839762038,-0.18769481317734527,False,False
VIRCHOW2,h0->h3,0.20611308675485931,0.0236244004370538,-0.18248868631780552,False,False
VIRCHOW2,h0->h4,0.25845093339871994,0.0673965766537187,-0.19105435674500124,False,False
VIRCHOW2,h1->h0,0.2451226390258063,0.0328762817671373,-0.212246357258669,False,False
VIRCHOW2,h1->h2,0.2578198015822052,0.0448890746491979,-0.2129307269330073,False,False
VIRCHOW2,h1->h3,0.2181923058271902,0.0249910700565783,-0.1932012357706119,False,False
VIRCHOW2,h1->h4,0.2811246545382043,0.0886126202975504,-0.19251203424065388,False,False
VIRCHOW2,h2->h0,0.25872314828353854,0.0449420846956636,-0.21378106358787494,False,False
VIRCHOW2,h2->h1,0.26338662819980246,0.08871804781190258,-0.1746685803878999,False,False
VIRCHOW2,h2->h3,0.24426515958231207,0.05041558354601091,-0.19384957603630115,False,False
VIRCHOW2,h2->h4,0.2511825111130683,0.0468869121200897,-0.20429559899297858,False,False
VIRCHOW2,h3->h0,0.21988834241998167,0.030367871578932403,-0.18952047084104928,False,False
VIRCHOW2,h3->h1,0.2258710897470911,0.0313504383378434,-0.1945206514092477,False,False
VIRCHOW2,h3->h2,0.23417434106572696,0.0562048965057425,-0.17796944455998445,False,False
VIRCHOW2,h3->h4,0.26390607691076823,0.19231381470923634,-0.07159226220153189,False,False
VIRCHOW2,h4->h0,0.26441021593141656,0.052716887587126594,-0.21169332834428997,False,False
VIRCHOW2,h4->h1,0.28181986565430245,0.0836730824023932,-0.19814678325190926,False,False
VIRCHOW2,h4->h2,0.24717262254014014,0.0376495232559534,-0.20952309928418672,False,False
VIRCHOW2,h4->h3,0.26539882901564776,0.04794238352275929,-0.21745644549288848,False,False
