probe,model,pair,fraction,seed,auroc,ece_fixed,ece_scaled_fixed,degeneracy_share
linear,CLIP,PCam->MHIST,1.0,123,0.4839366108409868,0.2509820835868923,0.2464218207701523,0.7072671443193449
linear,CLIP,PCam->MHIST,1.0,456,0.4839366108409868,0.2509820835868923,0.2464218207701523,0.7072671443193449
linear,CONCH,BRACS->CRC,0.01,42,0.4973054893877017,0.2056650585884657,0.0850651630057754,1.0
linear,CONCH,BRACS->CRC,0.01,123,0.2909600514259546,0.1807328685009958,0.1405941246144752,0.9999333333333332
linear,CONCH,BRACS->CRC,0.01,456,0.5457545111613713,0.1970173157720906,0.0780056346500409,0.9989333333333332
linear,CONCH,BRACS->CRC,0.05,42,0.3252971274130011,0.2467773026002254,0.2424850774803056,0.8226
linear,CONCH,BRACS->CRC,0.05,123,0.2349093240793095,0.2855615574526398,0.2866741921692972,0.8405333333333334
linear,CONCH,BRACS->CRC,0.05,456,0.2518330061285906,0.2280890713433483,0.2114118318982202,0.9628666666666666
linear,CONCH,BRACS->CRC,0.1,42,0.319142397440151,0.2313669256979121,0.2282421824589457,0.898
linear,CONCH,BRACS->CRC,0.1,123,0.236327933335514,0.3186217495837911,0.3225718439923927,0.7620666666666667
linear,CONCH,BRACS->CRC,0.1,456,0.2644143740916929,0.2602632710304904,0.2663671118261437,0.8520666666666666
linear,CONCH,BRACS->CRC,0.25,42,0.3187780523792389,0.2067035353267767,0.2082296306818042,0.9107333333333332
linear,CONCH,BRACS->CRC,0.25,123,0.2430469235550031,0.2653638213432805,0.268186396588576,0.8766
linear,CONCH,BRACS->CRC,0.25,456,0.1995751181675444,0.3014310800895334,0.299160598670706,0.8457333333333333
linear,CONCH,BRACS->CRC,0.5,42,0.2866804937686042,0.2313153368509158,0.2306472226915531,0.8960666666666667
linear,CONCH,BRACS->CRC,0.5,123,0.2105826834021037,0.3024134816814256,0.3026546769571347,0.8244666666666667
linear,CONCH,BRACS->CRC,0.5,456,0.2279016688902181,0.2828505545783962,0.2838744182492759,0.8584
linear,CONCH,BRACS->CRC,1.0,42,0.2399745235914522,0.2608707703288418,0.2608235930706836,0.8783333333333333
linear,CONCH,BRACS->CRC,1.0,123,0.2399745235914522,0.2608707703288418,0.2608235930706836,0.8783333333333333
linear,CONCH,BRACS->CRC,1.0,456,0.2399745235914522,0.2608707703288418,0.2608235930706836,0.8783333333333333
linear,CONCH,CRC->BRACS,0.01,42,0.4106451222464294,0.2378290739971155,0.3085930204136449,0.8456140350877193
linear,CONCH,CRC->BRACS,0.01,123,0.3830640280803679,0.2592834757515498,0.3183521156938668,0.8701754385964913
linear,CONCH,CRC->BRACS,0.01,456,0.4376512950859356,0.2212265501410903,0.2833145949268025,0.856140350877193
linear,CONCH,CRC->BRACS,0.05,42,0.4059095860566449,0.2866499540041359,0.3262587771978084,0.8385964912280702
linear,CONCH,CRC->BRACS,0.05,123,0.4015674170902928,0.2957084411508145,0.3299657679141746,0.8596491228070176
linear,CONCH,CRC->BRACS,0.05,456,0.4315692326313241,0.2652858677935514,0.3038540869786454,0.8719298245614036
linear,CONCH,CRC->BRACS,0.1,42,0.4327947228274025,0.3060648048621647,0.3287904436127406,0.8017543859649123
linear,CONCH,CRC->BRACS,0.1,123,0.4190117404986686,0.3038353801261546,0.3237900168304689,0.8456140350877193
linear,CONCH,CRC->BRACS,0.1,456,0.4241709029290728,0.305453428887273,0.3336320589986973,0.8122807017543859
linear,CONCH,CRC->BRACS,0.25,42,0.433914306463326,0.3173703282376115,0.3344953147255763,0.8087719298245614
linear,CONCH,CRC->BRACS,0.25,123,0.4219317356572258,0.3273225124225776,0.3475235865670154,0.7964912280701755
linear,CONCH,CRC->BRACS,0.25,456,0.4258654078915516,0.3112695229962945,0.330683458430018,0.8333333333333334
linear,CONCH,CRC->BRACS,0.5,42,0.4297990801258775,0.3179264144218539,0.3334439782088959,0.8122807017543859
linear,CONCH,CRC->BRACS,0.5,123,0.4257746308399903,0.335582381563018,0.3483760678772243,0.7947368421052632
linear,CONCH,CRC->BRACS,0.5,456,0.4374092229484386,0.320851429334157,0.3332779012405074,0.8017543859649123
linear,CONCH,CRC->BRACS,1.0,42,0.4284979423868312,0.3375047992219981,0.3495719457867096,0.8
linear,CONCH,CRC->BRACS,1.0,123,0.4284979423868312,0.3375047992219981,0.3495719457867096,0.8
linear,CONCH,CRC->BRACS,1.0,456,0.4284979423868312,0.3375047992219981,0.3495719457867096,0.8
linear,CONCH,MHIST->PCam,0.01,42,0.6759175401924531,0.2201657528367884,0.2193155951457409,1.0
linear,CONCH,MHIST->PCam,0.01,123,0.6433875841125534,0.2157767267661999,0.1890023773070318,1.0
linear,CONCH,MHIST->PCam,0.01,456,0.5343249782246497,0.250470941658411,0.2350922826563897,1.0
linear,CONCH,MHIST->PCam,0.05,42,0.7183210708116459,0.2739868107740724,0.2822473046841277,1.0
linear,CONCH,MHIST->PCam,0.05,123,0.8369765878165245,0.2535150456190231,0.2631109836542113,1.0
linear,CONCH,MHIST->PCam,0.05,456,0.6349803288058792,0.2831690565939327,0.2813460822210977,1.0
linear,CONCH,MHIST->PCam,0.1,42,0.7801959672182888,0.3313924735556391,0.351142703392509,1.0
linear,CONCH,MHIST->PCam,0.1,123,0.7690548996764798,0.3281745968148127,0.3534672433299418,1.0
linear,CONCH,MHIST->PCam,0.1,456,0.713159125092615,0.3031590891659416,0.319661314863881,1.0
linear,CONCH,MHIST->PCam,0.25,42,0.7851687724637607,0.4043403708816068,0.4212208891309829,1.0
linear,CONCH,MHIST->PCam,0.25,123,0.7106683359397519,0.3932967159329514,0.4180052430375822,1.0
linear,CONCH,MHIST->PCam,0.25,456,0.660102730039633,0.3965528880495705,0.4208554695912507,0.999969482421875
linear,CONCH,MHIST->PCam,0.5,42,0.7594580919051412,0.4470107324792905,0.4598772461698834,1.0
linear,CONCH,MHIST->PCam,0.5,123,0.6654350184139457,0.4371359439941829,0.4567592036983352,1.0
linear,CONCH,MHIST->PCam,0.5,456,0.6858564190825989,0.4323720750829847,0.4489405269114755,0.999847412109375
linear,CONCH,MHIST->PCam,1.0,42,0.6955241265918397,0.4550380096691915,0.466857186836618,0.9996337890625
linear,CONCH,MHIST->PCam,1.0,123,0.6955241265918397,0.4550380096691915,0.466857186836618,0.9996337890625
linear,CONCH,MHIST->PCam,1.0,456,0.6955241265918397,0.4550380096691915,0.466857186836618,0.9996337890625
linear,CONCH,PCam->MHIST,0.01,42,0.6395867098865479,0.1026721620426338,0.1468023692089225,0.7676560900716479
linear,CONCH,PCam->MHIST,0.01,123,0.6679227444624528,0.0846823880001381,0.1376918330720836,0.8239508700102354
linear,CONCH,PCam->MHIST,0.01,456,0.6600531244372411,0.1498750188652121,0.1929911137389267,0.9314227226202662
linear,CONCH,PCam->MHIST,0.05,42,0.6424815415090942,0.1043113036118182,0.1373276675167949,0.661207778915046
linear,CONCH,PCam->MHIST,0.05,123,0.6481991716189448,0.136702029086326,0.1599591485762657,0.7911975435005117
linear,CONCH,PCam->MHIST,0.05,456,0.643143345939132,0.1197976512115873,0.1472438679930305,0.7338792221084954
linear,CONCH,PCam->MHIST,0.1,42,0.6371871060687915,0.135736512567812,0.1495639721846424,0.6683725690890481
linear,CONCH,PCam->MHIST,0.1,123,0.6410093643075815,0.1511982044842808,0.1560886757469512,0.744114636642784
linear,CONCH,PCam->MHIST,0.1,456,0.6294120295335854,0.1422449069663229,0.1597610169384844,0.7502558853633572
linear,CONCH,PCam->MHIST,0.25,42,0.6359985593372951,0.1424236347869624,0.1532541126200858,0.7164790174002047
linear,CONCH,PCam->MHIST,0.25,123,0.623991536106609,0.1464229818273218,0.1508260223013711,0.6929375639713409
linear,CONCH,PCam->MHIST,0.25,456,0.6350036016567622,0.1382033163822557,0.1457779946849172,0.6212896622313203
linear,CONCH,PCam->MHIST,0.5,42,0.6260444804610121,0.1399793267838672,0.1401758273639858,0.6888433981576254
linear,CONCH,PCam->MHIST,0.5,123,0.6205699621826041,0.1614569605565892,0.1620186358929976,0.7645854657113613
linear,CONCH,PCam->MHIST,0.5,456,0.6308031694579507,0.1474588714717084,0.1480517369141238,0.7461617195496417
linear,CONCH,PCam->MHIST,1.0,42,0.6332613001980911,0.1508491012776405,0.1443507267947839,0.7523029682702149
linear,CONCH,PCam->MHIST,1.0,123,0.6332613001980911,0.1508491012776405,0.1443507267947839,0.7523029682702149
linear,CONCH,PCam->MHIST,1.0,456,0.6332613001980911,0.1508491012776405,0.1443507267947839,0.7523029682702149
linear,GigaPath,BRACS->CRC,0.01,42,0.5483278168035066,0.2193305325381323,0.1164441102680101,1.0
linear,GigaPath,BRACS->CRC,0.01,123,0.584096170156591,0.1980638380479028,0.0549447530450261,1.0
linear,GigaPath,BRACS->CRC,0.01,456,0.61558222778824,0.2856032228789272,0.2135445976089125,0.9987333333333334
linear,GigaPath,BRACS->CRC,0.05,42,0.7299955942723496,0.3276482379572304,0.309723302479686,0.7194666666666667
linear,GigaPath,BRACS->CRC,0.05,123,0.6526827405874849,0.2504987354601002,0.1912163880910152,0.9813333333333332
linear,GigaPath,BRACS->CRC,0.05,456,0.4922411660560662,0.2472985090490337,0.1379069090501085,0.9954
linear,GigaPath,BRACS->CRC,0.1,42,0.6958649318097917,0.3361208669174344,0.3151715897112485,0.6189333333333333
linear,GigaPath,BRACS->CRC,0.1,123,0.5665733266704673,0.2175942367099143,0.1280858178772546,0.9702666666666668
linear,GigaPath,BRACS->CRC,0.1,456,0.5253269102487418,0.2443807678841131,0.1629542098387423,0.9536666666666668
linear,GigaPath,BRACS->CRC,0.25,42,0.6068614571699603,0.283540629804583,0.2346890129712393,0.7876
linear,GigaPath,BRACS->CRC,0.25,123,0.5679221335462646,0.2174680369465954,0.1456667833201862,0.9256666666666666
linear,GigaPath,BRACS->CRC,0.25,456,0.505779432655598,0.2520146393072648,0.2006946989030787,0.8375333333333334
linear,GigaPath,BRACS->CRC,0.5,42,0.6165096648551147,0.2655891583656986,0.2249801926969551,0.7536666666666667
linear,GigaPath,BRACS->CRC,0.5,123,0.620660095410216,0.2689720226329466,0.2351066731290575,0.7575333333333333
linear,GigaPath,BRACS->CRC,0.5,456,0.5805134315551153,0.2500968700699307,0.2135979368220428,0.7904666666666667
linear,GigaPath,BRACS->CRC,1.0,42,0.6020277153418039,0.2779494868076844,0.259583084553337,0.6958666666666666
linear,GigaPath,BRACS->CRC,1.0,123,0.6020277153418039,0.2779494868076844,0.259583084553337,0.6958666666666666
linear,GigaPath,BRACS->CRC,1.0,456,0.6020277153418039,0.2779494868076844,0.259583084553337,0.6958666666666666
linear,GigaPath,CRC->BRACS,0.01,42,0.702387436456064,0.2011073863981138,0.2765088244736749,1.0
linear,GigaPath,CRC->BRACS,0.01,123,0.6883169934640523,0.2188997843071725,0.2779880304222994,1.0
linear,GigaPath,CRC->BRACS,0.01,456,0.6868645606390704,0.2004159021497316,0.2762267325088998,1.0
linear,GigaPath,CRC->BRACS,0.05,42,0.6542453401113533,0.2236776928419945,0.2787920179745941,1.0
linear,GigaPath,CRC->BRACS,0.05,123,0.6726428225611231,0.2322577405508968,0.2798657651990989,1.0
linear,GigaPath,CRC->BRACS,0.05,456,0.6508563301863957,0.2294869504404736,0.2786070030395299,1.0
linear,GigaPath,CRC->BRACS,0.1,42,0.661416727184701,0.2314399396989254,0.2754940536603397,1.0
linear,GigaPath,CRC->BRACS,0.1,123,0.6695261437908496,0.2322725298564153,0.275309058976754,1.0
linear,GigaPath,CRC->BRACS,0.1,456,0.6528534253207456,0.2408663055697495,0.2779231194193173,1.0
linear,GigaPath,CRC->BRACS,0.25,42,0.6381475429678043,0.2344538969030525,0.2759815776403022,0.9982456140350876
linear,GigaPath,CRC->BRACS,0.25,123,0.6513404744613895,0.2279306708895898,0.2713926206550039,0.9982456140350876
linear,GigaPath,CRC->BRACS,0.25,456,0.653730936819172,0.2528864392655911,0.2761035389637428,1.0
linear,GigaPath,CRC->BRACS,0.5,42,0.6267247639796659,0.2474760260098809,0.2743551337034245,0.9964912280701754
linear,GigaPath,CRC->BRACS,0.5,123,0.6228213507625272,0.2297272095599059,0.2684946877787106,0.9947368421052633
linear,GigaPath,CRC->BRACS,0.5,456,0.6261498426531106,0.2374496341772751,0.272652217906173,0.9929824561403509
linear,GigaPath,CRC->BRACS,1.0,42,0.6024116436698136,0.2323974910924541,0.2681362578268119,0.9912280701754386
linear,GigaPath,CRC->BRACS,1.0,123,0.6024116436698136,0.2323974910924541,0.2681362578268119,0.9912280701754386
linear,GigaPath,CRC->BRACS,1.0,456,0.6024116436698136,0.2323974910924541,0.2681362578268119,0.9912280701754386
linear,GigaPath,MHIST->PCam,0.01,42,0.3333104674973074,0.2366198576402126,0.2125559769769677,1.0
linear,GigaPath,MHIST->PCam,0.01,123,0.4538655438997285,0.254256441665967,0.2118037287477044,1.0
linear,GigaPath,MHIST->PCam,0.01,456,0.5198408643610863,0.2396583308858721,0.2236749432745278,1.0
linear,GigaPath,MHIST->PCam,0.05,42,0.3202727909884108,0.2993849968605718,0.321266952825734,1.0
linear,GigaPath,MHIST->PCam,0.05,123,0.4121042497199336,0.2949198909134848,0.3165147892141539,1.0
linear,GigaPath,MHIST->PCam,0.05,456,0.5135226367511199,0.3060775642448079,0.3210807479507702,1.0
linear,GigaPath,MHIST->PCam,0.1,42,0.331303597367839,0.3517379446991104,0.393302476136585,1.0
linear,GigaPath,MHIST->PCam,0.1,123,0.3919552088000075,0.3331675810466123,0.3787366729330611,1.0
linear,GigaPath,MHIST->PCam,0.1,456,0.4560470929231776,0.3509546232568044,0.3963144861201116,1.0
linear,GigaPath,MHIST->PCam,0.25,42,0.4570766739426443,0.3810429673565987,0.4366582383979352,1.0
linear,GigaPath,MHIST->PCam,0.25,123,0.4575860665057497,0.3946415896310357,0.4496734908117154,1.0
linear,GigaPath,MHIST->PCam,0.25,456,0.4775281079071659,0.3792264072044641,0.4453478401042364,1.0
linear,GigaPath,MHIST->PCam,0.5,42,0.4692666381376433,0.4422198202048124,0.4810073122573511,1.0
linear,GigaPath,MHIST->PCam,0.5,123,0.4529879808292205,0.4300433573184871,0.4731941942230948,1.0
linear,GigaPath,MHIST->PCam,0.5,456,0.4537318022283103,0.4381480527560776,0.4803999805193744,1.0
linear,GigaPath,MHIST->PCam,1.0,42,0.4865364389132168,0.4620518188702171,0.4902162215017854,1.0
linear,GigaPath,MHIST->PCam,1.0,123,0.4865364389132168,0.4620518188702171,0.4902162215017854,1.0
linear,GigaPath,MHIST->PCam,1.0,456,0.4865364389132168,0.4620518188702171,0.4902162215017854,1.0
linear,GigaPath,PCam->MHIST,0.01,42,0.4650009004141905,0.1264795349841704,0.193181938167372,0.9989764585465712
linear,GigaPath,PCam->MHIST,0.01,123,0.4381505492526562,0.140974846313055,0.1919537175932144,0.9989764585465712
linear,GigaPath,PCam->MHIST,0.01,456,0.4497028633171259,0.1870715592135456,0.2462659626018949,1.0
linear,GigaPath,PCam->MHIST,0.05,42,0.4716819737079056,0.1821352646056162,0.1884453399507809,0.9989764585465712
linear,GigaPath,PCam->MHIST,0.05,123,0.4744327390599676,0.2215156455862438,0.2243121970529997,1.0
linear,GigaPath,PCam->MHIST,0.05,456,0.4877903835764452,0.2175763056841405,0.2205304185497406,1.0
linear,GigaPath,PCam->MHIST,0.1,42,0.5310012605798667,0.2009729944166548,0.1840760681606349,0.9969293756397134
linear,GigaPath,PCam->MHIST,0.1,123,0.5301953898793446,0.2278508696916103,0.2084497101442283,1.0
linear,GigaPath,PCam->MHIST,0.1,456,0.5198721411849451,0.26604488647267,0.2534000137935556,1.0
linear,GigaPath,PCam->MHIST,0.25,42,0.5999594813614262,0.2145086150764463,0.1782721627351833,0.9938587512794268
linear,GigaPath,PCam->MHIST,0.25,123,0.5454574104087881,0.2400067339659767,0.2041934273333611,0.9959058341862844
linear,GigaPath,PCam->MHIST,0.25,456,0.555722132180803,0.2800240312036962,0.2452792707319423,1.0
linear,GigaPath,PCam->MHIST,0.5,42,0.6165090941833243,0.2327664515239839,0.1821025760886303,0.992835209825998
linear,GigaPath,PCam->MHIST,0.5,123,0.5836934990095444,0.2575273625361131,0.204316959403471,0.9959058341862844
linear,GigaPath,PCam->MHIST,0.5,456,0.5583918602557176,0.2579231909330438,0.2105811273315598,0.9959058341862844
linear,GigaPath,PCam->MHIST,1.0,42,0.5884296776517198,0.2882877951085638,0.232126400951987,0.9989764585465712
linear,GigaPath,PCam->MHIST,1.0,123,0.5884296776517198,0.2882877951085638,0.232126400951987,0.9989764585465712
linear,GigaPath,PCam->MHIST,1.0,456,0.5884296776517198,0.2882877951085638,0.232126400951987,0.9989764585465712
linear,H-Optimus-0,BRACS->CRC,0.01,42,0.6088445457179307,0.2223999187090371,0.1180475125977357,1.0
linear,H-Optimus-0,BRACS->CRC,0.01,123,0.6446283052449333,0.1941585611504047,0.0465016572576926,1.0
linear,H-Optimus-0,BRACS->CRC,0.01,456,0.5035062553447012,0.2296312218474621,0.1077789488575296,1.0
linear,H-Optimus-0,BRACS->CRC,0.05,42,0.6115125153623648,0.2819234351011693,0.2294831548554823,0.9656
linear,H-Optimus-0,BRACS->CRC,0.05,123,0.4901623912952051,0.1911000566084419,0.0910960687845123,0.9999333333333332
linear,H-Optimus-0,BRACS->CRC,0.05,456,0.520961048811432,0.1942297247084169,0.0461628083444521,0.9998666666666668
linear,H-Optimus-0,BRACS->CRC,0.1,42,0.5198933863558834,0.2543675218849691,0.1744408068124872,0.9749333333333332
linear,H-Optimus-0,BRACS->CRC,0.1,123,0.5057070382411903,0.1850933890684026,0.0886026329871116,0.9986666666666668
linear,H-Optimus-0,BRACS->CRC,0.1,456,0.5040535030864919,0.1682162330704083,0.0607399267786204,0.9994666666666666
linear,H-Optimus-0,BRACS->CRC,0.25,42,0.4705950171030435,0.2331983920022271,0.1656935037328853,0.9134666666666666
linear,H-Optimus-0,BRACS->CRC,0.25,123,0.5425335986018496,0.1809858798623504,0.1070615124060002,0.9864
linear,H-Optimus-0,BRACS->CRC,0.25,456,0.4540603957064818,0.1835330748349799,0.1276860444944964,0.9409333333333332
linear,H-Optimus-0,BRACS->CRC,0.5,42,0.4773309468123385,0.1979287871183372,0.151310382990025,0.9034666666666666
linear,H-Optimus-0,BRACS->CRC,0.5,123,0.5191067222904995,0.1993922918046345,0.1566117085845078,0.8948
linear,H-Optimus-0,BRACS->CRC,0.5,456,0.4992576925727931,0.1855378054694667,0.1431842249623787,0.9017333333333334
linear,H-Optimus-0,BRACS->CRC,1.0,42,0.5009205371453805,0.2201482805864774,0.2004972749866284,0.7708
linear,H-Optimus-0,BRACS->CRC,1.0,123,0.5009205371453805,0.2201482805864774,0.2004972749866284,0.7708
linear,H-Optimus-0,BRACS->CRC,1.0,456,0.5009205371453805,0.2201482805864774,0.2004972749866284,0.7708
linear,H-Optimus-0,CRC->BRACS,0.01,42,0.5924564270152506,0.2101980235329462,0.279121465269309,1.0
