model,dataset,fraction,seed,n_train,n_classes,auroc,f1_macro,f1_binary,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,degenerate,forced_classes
PLIP,CRC,0.1,123,6996,9,0.9981363802532476,0.9595504759361846,,,0.0873803786446889,0.0873133684360353,0.5108498913123681,0.003979334607181,0.0019358341588345,0.1416,False,0
PLIP,CRC,0.1,456,6996,9,0.9981678842476658,0.9593428070206994,,,0.0890560724497873,0.0889270584894454,0.5061781749860794,0.0027292467277009,0.0022424092654249,0.1422,False,0
PLIP,CRC,0.25,42,17496,9,0.99865728412423,0.9676876113666923,,,0.0546776261887448,0.0541455201523246,0.5763466962616182,0.0017149952235809,0.0020464673393583,0.1431333333333333,False,0
PLIP,CRC,0.25,123,17496,9,0.9986271586273304,0.9673629485608916,,,0.0553207183508059,0.0549648365602008,0.5733714648237928,0.002524057138759,0.0024156195569667,0.1424,False,0
PLIP,CRC,0.25,456,17496,9,0.998674720883781,0.968199976987051,,,0.0562872091307812,0.0562533618574372,0.5697265094070485,0.0025705930774037,0.0024795739657241,0.1427333333333333,False,0
PLIP,CRC,0.5,42,34998,9,0.998954690011678,0.9721060814193724,,,0.038636503780083,0.0385482528984933,0.6146192631536616,0.0024166938952278,0.0018774157563698,0.1426666666666666,False,0
PLIP,CRC,0.5,123,34998,9,0.9989208030693614,0.9720568041818548,,,0.0384034784541395,0.0380319668914172,0.6182938648776924,0.0035616508617363,0.0016222364130878,0.1427333333333333,False,0
PLIP,CRC,0.5,456,34998,9,0.9989481387368218,0.9722987948833866,,,0.0396971439876025,0.0394764559632276,0.6133916553561258,0.0023144482381381,0.0015919782810974,0.1426666666666666,False,0
PLIP,CRC,1.0,42,70000,9,0.9991666117025452,0.976428964917576,,,0.0281272113232024,0.0280067957423816,0.6482916748504577,0.0019242254268136,0.0014373214025949,0.1429333333333333,False,0
PLIP,CRC,1.0,123,70000,9,0.9991666117025452,0.976428964917576,,,0.0281272113232024,0.0280067957423816,0.6482916748504577,0.0019242254268136,0.0014373214025949,0.1429333333333333,False,0
PLIP,CRC,1.0,456,70000,9,0.9991666117025452,0.976428964917576,,,0.0281272113232024,0.0280067957423816,0.6482916748504577,0.0019242254268136,0.0014373214025949,0.1429333333333333,False,0
PLIP,LungHist700,0.01,42,7,7,0.7244925228350151,0.4252244987279519,,,0.3659636050957247,0.3898087301249651,0.1000052749944835,0.2048329700858782,0.2375048697420834,0.3238095238095238,False,6
