probe,model,dataset,fraction,seed,n_train,n_classes,hidden,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,forced_classes,degenerate
mlp,CONCH,MHIST,0.05,42,92,2,256,0.8208265802269044,0.6834211926294917,0.1693833545989709,0.0634023490664048,0.0634807696853866,1.3970680822501809,0.0613335998406673,0.0636452068874999,0.7338792221084954,0,False
mlp,CONCH,MHIST,0.05,123,92,2,256,0.8132450927426617,0.6767976014354002,0.1742737107476692,0.0661257329561815,0.0619862557020888,1.559526412300393,0.063951319398143,0.067671016621248,0.7533265097236438,0,False
mlp,CONCH,MHIST,0.05,456,92,2,256,0.737767873221682,0.610285262754007,0.2018957043292919,0.0884300080588432,0.0874909685720654,1.434995749450236,0.0592587324833552,0.0609559623129902,0.7840327533265097,0,False
mlp,CONCH,MHIST,0.1,42,184,2,256,0.8244687556275886,0.7029178069514403,0.1676583573316316,0.0696327174110995,0.0726531043156844,1.2728764286316991,0.0702609565783913,0.0724884894702244,0.7267144319344934,0,False
mlp,CONCH,MHIST,0.1,123,184,2,256,0.8208535926526201,0.7016252946622001,0.1710694074680113,0.0649945209910492,0.0705224883970456,1.4070778044853207,0.067535180007484,0.0666954966687131,0.7175025588536336,0,False
mlp,CONCH,MHIST,0.1,456,184,2,256,0.8107284350801369,0.6975172122117035,0.169863071051336,0.0472934006149961,0.0414718744652908,1.4486872741562398,0.0581746091465622,0.0512543367631847,0.6898669396110543,0,False
mlp,CONCH,MHIST,0.25,42,461,2,256,0.8527237529263461,0.7632829129115529,0.1537911252103735,0.0610511120763381,0.0547765887742995,1.6787805344377236,0.0474822475606367,0.0486252879554228,0.6417604912998977,0,False
mlp,CONCH,MHIST,0.25,123,461,2,256,0.8604312983972628,0.7893552774908708,0.1458819309317989,0.0533028002046696,0.0568422788166428,1.3823992410011905,0.0554545325290949,0.0524382811886169,0.6366427840327533,0,False
mlp,CONCH,MHIST,0.25,456,461,2,256,0.8361921483882586,0.747744182454289,0.1666105873223823,0.0809316069246131,0.0817833908059288,1.5588425231655954,0.0381068849408028,0.0364343700234605,0.6345957011258956,0,False
mlp,CONCH,MHIST,0.5,42,924,2,256,0.8535521339816315,0.784461838494189,0.1499281516963132,0.0493066178800627,0.0446163917831626,1.259226738366786,0.0451924655826699,0.047589018788406,0.5926305015353122,0,False
mlp,CONCH,MHIST,0.5,123,924,2,256,0.8651359625427696,0.7921704895393062,0.1446027304259352,0.0549474344984413,0.0538254388233412,1.330805208477179,0.0452796365444223,0.0522846042425462,0.6120777891504606,0,False
mlp,CONCH,MHIST,0.5,456,924,2,256,0.8577030433999641,0.7792823920265781,0.1516409679694342,0.0632159150031108,0.0574386766607689,1.4734374859158288,0.0326039715076176,0.02940816213944,0.6008188331627431,0,False
mlp,CONCH,MHIST,1.0,42,1849,2,256,0.8767693138843868,0.8005166628198072,0.1368540317482916,0.0442791496753357,0.0389863199260306,1.0911146136943357,0.0405326258227183,0.0390918227608488,0.6049129989764586,0,False
mlp,CONCH,MHIST,1.0,123,1849,2,256,0.8738519719070772,0.7897704277596108,0.1382586670903391,0.0476012878890169,0.0469266510877887,1.1297069958594774,0.0408819189014918,0.0403411999643192,0.6141248720573184,0,False
mlp,CONCH,MHIST,1.0,456,1849,2,256,0.8744552494147307,0.7901018826135104,0.1387074814424612,0.0520757850213786,0.0437027701506049,1.09603141944596,0.0467568371280982,0.0378195607335046,0.6008188331627431,0,False
mlp,CONCH,PCam,0.01,42,2620,2,256,0.9586139562431122,0.8963071589667494,0.0772766957343279,0.0095700457078464,0.0090154927692225,0.9764863541466065,0.0082868125930986,0.0073717144384772,0.51519775390625,0,False
