probe,model,src,tgt,pair,fraction,seed,n_train,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature_src,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,degenerate
mlp,H-Optimus-0,MHIST,PCam,MHIST->PCam,0.05,456,92,0.6244684796741438,0.418413203943595,0.312864185324889,0.267614482039562,0.2639572271214092,1.4257016753953866,0.2114962755840679,0.206133048016909,0.908111572265625,False
mlp,H-Optimus-0,MHIST,PCam,MHIST->PCam,0.1,42,184,0.5541723618449484,0.3382385010194131,0.4221735991337993,0.4180917975501188,0.4179464524245446,1.330781477807727,0.3731065584256612,0.3729152022552284,0.996429443359375,True
mlp,H-Optimus-0,MHIST,PCam,MHIST->PCam,0.1,123,184,0.7578790751698414,0.3600123220376385,0.3155217501787663,0.3178979864629809,0.3177690240190713,1.1571531407771052,0.2918218492009146,0.2915135533472721,0.984893798828125,False
mlp,H-Optimus-0,MHIST,PCam,MHIST->PCam,0.1,456,184,0.6913921828501559,0.4456519917166203,0.3139587384633191,0.2950535368299825,0.2949918430788898,1.0947972043679373,0.282784506579901,0.2824316340864925,0.914947509765625,False
mlp,H-Optimus-0,MHIST,PCam,MHIST->PCam,0.25,42,461,0.6824321986704236,0.3390997629768023,0.4381643391752143,0.4518570502277157,0.4518570481747517,1.202176842945287,0.432933935224014,0.4329339362955977,0.99725341796875,True
mlp,H-Optimus-0,MHIST,PCam,MHIST->PCam,0.25,123,461,0.7444646562590008,0.3623764445754109,0.3800837306185277,0.4012116869566284,0.4012116884015526,1.1157251146861815,0.3868057532820899,0.3868057492765331,0.984832763671875,False
mlp,H-Optimus-0,MHIST,PCam,MHIST->PCam,0.25,456,461,0.669819022793815,0.3504381170095117,0.3991827289888438,0.4040956821718851,0.4039804622453573,1.0031447784031984,0.4036689321542894,0.4035540369735741,0.9888916015625,False
mlp,H-Optimus-0,MHIST,PCam,MHIST->PCam,0.5,42,924,0.680238879590128,0.3341060953411018,0.4706964642352724,0.4774721805441402,0.4774303249530867,1.116972194719139,0.4702241821917141,0.4701589603291829,0.99951171875,True
mlp,H-Optimus-0,MHIST,PCam,MHIST->PCam,0.5,123,924,0.7023655247535956,0.3434198338479012,0.4264772154899403,0.4389964167669404,0.4389556966450385,1.0593914065470351,0.4328969873745905,0.4328969876427777,0.99432373046875,True
mlp,H-Optimus-0,MHIST,PCam,MHIST->PCam,0.5,456,924,0.5567463684103342,0.3374932417088751,0.4589171106563573,0.4553899816617104,0.4542509416188238,1.0378205321183185,0.4520402876162279,0.4509919162106612,0.995147705078125,True
mlp,H-Optimus-0,MHIST,PCam,MHIST->PCam,1.0,42,1849,0.6447855908218546,0.3384052925297957,0.4786890014726229,0.4792429410777572,0.4784224065076268,1.0741126904718128,0.4762756305938183,0.4756026715318927,0.994842529296875,True
mlp,H-Optimus-0,MHIST,PCam,MHIST->PCam,1.0,123,1849,0.6453117676834635,0.3385000898673151,0.4797396664976917,0.4803575814179623,0.4796379279285391,1.0976242451501064,0.4767957966562335,0.4760944637980308,0.994873046875,True
