model,dataset,fraction,auroc_old,ece_old,auroc_new,ece_new,d_auroc,d_ece
H-Optimus-0,CRC,0.5,0.9999291026385028,0.0164495570760833,0.9999254287984011,0.0165667969026684,-3.6738401016922495e-06,0.0001172398265851006
H-Optimus-0,CRC,1.0,0.999951537035037,0.011140957989430164,0.999951537035037,0.011140957989439001,0.0,8.836681386625855e-15
H-Optimus-0,LungHist700,0.01,0.6336078205463992,0.1328453119692891,0.6407132246130499,0.16069613697488894,0.007105404066650722,0.02785082500559985
H-Optimus-0,LungHist700,0.05,0.7431846046330808,0.14718026035978318,0.7539810642172284,0.08956763341182183,0.010796459584147655,-0.05761262694796135
H-Optimus-0,LungHist700,0.1,0.8142401688358992,0.09827481450988702,0.8247311813060579,0.1526746563525956,0.010491012470158712,0.05439984184270859
H-Optimus-0,LungHist700,0.25,0.9123798347188051,0.21058394055557758,0.9206702707671077,0.2666583747015141,0.008290436048302596,0.05607443414593652
H-Optimus-0,LungHist700,0.5,0.9438361454465874,0.3321239380909021,0.9409427454201967,0.3223533306203519,-0.0028934000263907134,-0.009770607470550252
H-Optimus-0,LungHist700,1.0,0.9637720379268856,0.3144088020647316,0.9637720379268856,0.3144088020647313,0.0,-2.7755575615628914e-16
H-Optimus-0,MHIST,0.01,0.6592142385497328,0.1485376985507529,0.7012260639894351,0.13198192407336617,0.04201182543970228,-0.016555774477386737
H-Optimus-0,MHIST,0.05,0.7930908217780178,0.1622728937653742,0.7679602617203914,0.13907450896881574,-0.025130560057626372,-0.023198384796558474
H-Optimus-0,MHIST,0.1,0.8093898193168857,0.1326314340404767,0.8119109790503632,0.12622036853546206,0.0025211597334775515,-0.006411065505014635
H-Optimus-0,MHIST,0.25,0.8409433339336094,0.0993575541720521,0.8448961522300258,0.1074046794964796,0.0039528182964163605,0.008047125324427501
H-Optimus-0,MHIST,0.5,0.8673419773095624,0.10169212586305604,0.8672609400324148,0.09727958857543723,-8.103727714758868e-05,-0.004412537287618812
H-Optimus-0,MHIST,1.0,0.8848370250315144,0.0842599051562367,0.8848370250315144,0.08425990515624641,0.0,9.71445146547012e-15
H-Optimus-0,PCam,0.01,0.9824128230595153,0.07112506444229404,0.9822110116295749,0.06728057931169937,-0.00020181142994035728,-0.0038444851305946687
H-Optimus-0,PCam,0.05,0.9850574990156447,0.04088843169298784,0.9848634622679762,0.03914364684972466,-0.00019403674766849122,-0.0017447848432631738
H-Optimus-0,PCam,0.1,0.9851521685935168,0.03336021994003463,0.985261808874068,0.033750959830880466,0.00010964028055115982,0.00039073989084583566
H-Optimus-0,PCam,0.25,0.9844852620354958,0.033188861296344636,0.9840037507918371,0.0338413797235867,-0.00048151124365869435,0.0006525184272420659
H-Optimus-0,PCam,0.5,0.9838229177171599,0.0350779022196514,0.9843411094175566,0.03375504487493306,0.0005181917003966863,-0.0013228573447183409
H-Optimus-0,PCam,1.0,0.9821887579830332,0.03658758185525934,0.9821887579830332,0.0365875818552595,0.0,1.6653345369377348e-16
H-Optimus-0,SPIDER-Breast,0.01,0.9915489297147492,0.4581944471749553,0.9910003163773702,0.4654186525953395,-0.0005486133373789892,0.007224205420384211
H-Optimus-0,SPIDER-Breast,0.05,0.9947058743737749,0.2219364945728258,0.9943629307595131,0.2220228964536457,-0.00034294361426179254,8.640188081990297e-05
H-Optimus-0,SPIDER-Breast,0.1,0.9950410104608189,0.144608284259755,0.9949721186274495,0.14668145909693667,-6.889183336944438e-05,0.0020731748371816683
H-Optimus-0,SPIDER-Breast,0.25,0.9954659605957744,0.0824090741446638,0.9954586378021889,0.07960067868105497,-7.322793585506915e-06,-0.002808395463608823
H-Optimus-0,SPIDER-Breast,0.5,0.9956376125144416,0.048573948516994564,0.9955851101091971,0.04865833957767653,-5.250240524445893e-05,8.43910606819695e-05
H-Optimus-0,SPIDER-Breast,1.0,0.9956255660731292,0.025403966022288033,0.9956255660731292,0.025403965932187505,0.0,-9.010052773317234e-11
MIDNIGHT,BRACS,0.01,0.7503080232517382,0.06074622851495116,0.748884222159965,0.10554416080676217,-0.0014238010917732025,0.04479793229181101
MIDNIGHT,BRACS,0.05,0.8220805707614413,0.10747262563595088,0.8243180804717358,0.09330405643514246,0.002237509710294572,-0.014168569200808417
MIDNIGHT,BRACS,0.1,0.8446478696257359,0.08963551409057374,0.8508230972316739,0.09619728509686047,0.006175227605938027,0.006561771006286729
MIDNIGHT,BRACS,0.25,0.8717992549102607,0.07710789435421507,0.8697692886789777,0.06697756017570776,-0.0020299662312829314,-0.010130334178507311
MIDNIGHT,BRACS,0.5,0.8838721150319424,0.07131363595345556,0.881514719044072,0.06959495315005283,-0.0023573959878704365,-0.0017186828034027324
MIDNIGHT,BRACS,1.0,0.8920914360615791,0.07196549473380577,0.8920914360615791,0.0719654947204255,0.0,-1.3380269114904308e-11
MIDNIGHT,CRC,0.01,0.9982130293305681,0.17792389662372768,0.9982762474795619,0.18177442233573035,6.32181489937933e-05,0.0038505257120026726
MIDNIGHT,CRC,0.05,0.9988288273663506,0.06602356971427403,0.9988441070248886,0.06659325682277967,1.5279658537981078e-05,0.0005696871085056343
MIDNIGHT,CRC,0.1,0.9991015180717374,0.043250148231093966,0.9991079450596366,0.04360235000213244,6.426987899210701e-06,0.00035220177103847256
MIDNIGHT,CRC,0.25,0.9994324568158645,0.025302432662578433,0.9994158380393111,0.0252928663189462,-1.6618776553345427e-05,-9.566343632232827e-06
MIDNIGHT,CRC,0.5,0.9995833658604076,0.017229255190012567,0.9995895422033597,0.0177705886734413,6.176342952080027e-06,0.0005413334834287326
MIDNIGHT,CRC,1.0,0.9996967099917168,0.012732123665626668,0.9996967099917168,0.0127321236652125,0.0,-4.1416869933641465e-13
MIDNIGHT,LungHist700,0.01,0.7447001165373779,0.2072079805457051,0.6970259101823251,0.17268684421444583,-0.04767420635505282,-0.03452113633125928
MIDNIGHT,LungHist700,0.05,0.8213208859711351,0.15507004651966208,0.8216573028165066,0.18546932575299294,0.0003364168453715566,0.030399279233330856
MIDNIGHT,LungHist700,0.1,0.858471280844357,0.14410340646636013,0.8623333798427102,0.22755250471060418,0.003862098998353214,0.08344909824424404
MIDNIGHT,LungHist700,0.25,0.9131852140775747,0.18306072486348532,0.8983472266631974,0.1734785971753482,-0.014837987414377252,-0.009582127688137126
MIDNIGHT,LungHist700,0.5,0.9302623248507675,0.17424885939688273,0.9151711431481999,0.16900687819597007,-0.015091181702567624,-0.005241981200912654
MIDNIGHT,LungHist700,1.0,0.9460658957717402,0.19460740867460422,0.9460658957717402,0.1946074086746045,0.0,2.7755575615628914e-16
MIDNIGHT,MHIST,0.01,0.5456119815114953,0.1451791836178442,0.49919412929947776,0.09058553970056205,-0.046417852212017496,-0.054593643917282164
MIDNIGHT,MHIST,0.05,0.613419172819497,0.10129567019719053,0.6173689897352782,0.10513378269272163,0.0039498169157812235,0.003838112495531093
MIDNIGHT,MHIST,0.1,0.6281049282670028,0.1016341757645014,0.6685710426796326,0.10191184571118694,0.04046611441262982,0.0002776699466855437
MIDNIGHT,MHIST,0.25,0.6729560597875022,0.0791413340805211,0.6906176841347019,0.08962050465834644,0.017661624347199756,0.010479170577825339
MIDNIGHT,MHIST,0.5,0.7118959721471877,0.0855836198874425,0.7119484963083019,0.08923911654272497,5.2524161114231305e-05,0.0036554966552824752
MIDNIGHT,MHIST,1.0,0.7383261300198093,0.0825294760265743,0.7383261300198093,0.0825294760265743,0.0,0.0
MIDNIGHT,PCam,0.01,0.9449223017985354,0.055578046874184495,0.9461685084884003,0.057162632323424,0.0012462066898648594,0.0015845854492395062
MIDNIGHT,PCam,0.05,0.95444168063865,0.051136851545961835,0.9567592710798145,0.04851941979539237,0.00231759044116453,-0.002617431750569464
MIDNIGHT,PCam,0.1,0.955762711039581,0.050002900231721735,0.9566371821185768,0.049733995013704825,0.0008744710789958532,-0.0002689052180169099
MIDNIGHT,PCam,0.25,0.9552695694374873,0.05247003726678127,0.9567336000996818,0.05171385473205817,0.001464030662194471,-0.0007561825347231002
