model,hospital,fraction,seed,n_train,n_val_full,n_val_prop,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,temperature_prop,ece_scaled_prop,degeneracy_share,forced_classes,degenerate
CLIP,2,0.1,123,1400,3000,300,0.977671111111111,0.9259988159810556,0.0792211590540785,0.1510486614198886,0.152029820010055,0.767327501965362,0.0241820840397437,0.0177301881057776,0.9073354674130978,0.0334052536205659,0.504,0,False
CLIP,2,0.1,456,1400,3000,300,0.9775302222222224,0.926319571466626,0.0784428451544024,0.1499728291139391,0.1490938062307294,0.7819671900183321,0.0204616697070439,0.0184626517235755,0.756667989879829,0.0209687360675039,0.5136666666666667,0,False
CLIP,2,0.25,42,3500,3000,750,0.98234,0.9376472056667464,0.0593700447749346,0.1033958728612574,0.1034948590052351,0.9868449289504468,0.0174633497688535,0.0148301365001453,0.9715154179843448,0.0161410901022229,0.5176666666666667,0,False
CLIP,2,0.25,123,3500,3000,750,0.9820595555555556,0.937648647125686,0.0591097962318533,0.1015332662605485,0.1001390275632989,0.9952831879568738,0.0152381324650303,0.0146085441660949,1.0228539322797037,0.016024902824897,0.517,0,False
CLIP,2,0.25,456,3500,3000,750,0.981428,0.9373029879795154,0.059894568002717,0.1001130321085112,0.0994072645174105,1.0013350465504696,0.02021081393095,0.0159797957933942,1.0364808201662776,0.0217172187024501,0.522,0,False
CLIP,2,0.5,42,7000,3000,1500,0.9844924444444444,0.944310308739869,0.0500928449195951,0.0729101306853912,0.0728662431235198,1.1542587147375405,0.0149514656822914,0.01377519340941,1.154962455947161,0.0150150735815089,0.5203333333333333,0,False
CLIP,2,0.5,123,7000,3000,1500,0.9844511111111112,0.9446398723648912,0.05010982411442,0.0744789679718246,0.0736804980619087,1.1418441271713349,0.0159669943122323,0.0132183396004086,1.160590789976012,0.0160249707115688,0.522,0,False
CLIP,2,0.5,456,7000,3000,1500,0.9841324444444444,0.9436350960576918,0.0502125997060909,0.0718100856327256,0.0719098116002266,1.1639156121705758,0.015232205013292,0.0156001961749559,1.1632776953533197,0.0152402655607433,0.5236666666666666,0,False
CLIP,2,1.0,42,14000,3000,3000,0.9861706666666666,0.9486461251167132,0.0440955934564102,0.0515535139185263,0.0493465563807871,1.3084738489306371,0.0138338927107768,0.010402430662071,1.3084738489306371,0.0138338927107768,0.52,0,False
CLIP,2,1.0,123,14000,3000,3000,0.9861706666666666,0.9486461251167132,0.0440955934564102,0.0515535139185263,0.0493465563807871,1.3084738489306371,0.0138338927107768,0.010402430662071,1.3084738489306371,0.0138338927107768,0.52,0,False
CLIP,2,1.0,456,14000,3000,3000,0.9861706666666666,0.9486461251167132,0.0440955934564102,0.0515535139185263,0.0493465563807871,1.3084738489306371,0.0138338927107768,0.010402430662071,1.3084738489306371,0.0138338927107768,0.52,0,False
CLIP,3,0.01,42,140,3000,30,0.9688644444444444,0.8951819761068316,0.1578385481921108,0.2882197696501318,0.2866261200679729,0.3100717281156255,0.04502180524609,0.0428171748400929,0.2332503878597134,0.0488039753517783,0.538,0,False
CLIP,3,0.01,123,140,3000,30,0.9680702222222224,0.9113256088085896,0.1602324876925842,0.3010192778920796,0.302182254480161,0.2837130734873897,0.0340673201696411,0.0368675015392757,0.2220640056132909,0.0378959613402188,0.5093333333333333,0,False
CLIP,3,0.01,456,140,3000,30,0.9676408888888888,0.9116658716595116,0.1638774369029835,0.3050344060528265,0.3100354004448682,0.263094912366325,0.0266798348751632,0.0238564037958638,0.1471948723360846,0.0488967995978928,0.503,0,False
CLIP,3,0.05,42,700,3000,150,0.9740982222222222,0.924317784842686,0.0906470620989065,0.1703746927113779,0.1699620088687098,0.6565259858131455,0.0233062966508543,0.0191094461414319,0.7083466553421126,0.0233748674711715,0.5143333333333333,0,False
CLIP,3,0.05,123,700,3000,150,0.9706968888888888,0.9176626321356414,0.0912399878873641,0.1661480173031885,0.165281602128831,0.6863047810861942,0.0200343988823102,0.0209278635352502,0.5607863910969819,0.0257402951240428,0.507,0,False
CLIP,3,0.05,456,700,3000,150,0.9727311111111112,0.922645179216449,0.0909208815624759,0.1697831914437512,0.16972031304075,0.6534129759921733,0.0214378475070391,0.0150337508560924,0.6650065012288487,0.0218642821112551,0.5166666666666667,0,False
CLIP,3,0.1,42,1400,3000,300,0.9752013333333333,0.9259868421052632,0.074718683532842,0.1243842261011053,0.1232879727857637,0.8447670287259553,0.0214644921895719,0.0165276475055968,0.8030485749023802,0.0200566739277968,0.5133333333333333,0,False
CLIP,3,0.1,123,1400,3000,300,0.9757897777777778,0.921663524503594,0.0748955810488248,0.1255998229539454,0.124252355000171,0.8121604405470303,0.0175893805411899,0.0160011375078743,0.7503901331645922,0.0200963028079589,0.5063333333333333,0,False
CLIP,3,0.1,456,1400,3000,300,0.9753648888888888,0.9253213515590724,0.0746184848284819,0.1233236940064279,0.1216011117677842,0.830569470094953,0.0174620485229466,0.0159909207004304,0.7739303280353337,0.0181513776736902,0.5126666666666667,0,False
