probe,model,dataset,fraction,auroc,f1_macro,ece_fixed,ece_scaled_fixed,temperature,degeneracy_share
linear,UNI,mhist,0.5,0.8728209976589231,0.7227846799484061,0.1129548178192133,0.0854914239392212,1.409568330990958,0.7615148413510747
linear,UNI,mhist,0.5,0.8695930127858814,0.7378370265087699,0.096197017738281,0.0787934395918786,1.388340838737629,0.7492323439099283
linear,UNI,mhist,0.5,0.8660813974428239,0.716454007596664,0.0984129367936595,0.097022236207362,1.39266008547626,0.789150460593654
linear,UNI,mhist,1.0,0.8856428957320367,0.7731453110936632,0.0802746194612482,0.0613432249894991,1.3695925677556275,0.721596724667349
linear,UNI,mhist,1.0,0.8856428957320367,0.7731453110936632,0.0802746194612482,0.0613432249894991,1.3695925677556275,0.721596724667349
linear,UNI,mhist,1.0,0.8856428957320367,0.7731453110936632,0.0802746194612482,0.0613432249894991,1.3695925677556275,0.721596724667349
lora,H-Optimus-0,lunghist700,0.01,0.6026836611357217,0.197407032988634,0.0337051196167102,0.0316722287008395,1.2792062924901848,0.3269230769230769
lora,H-Optimus-0,lunghist700,0.01,0.4819105411208809,0.0810616929698708,0.1373113233309525,0.0646095753002625,2.713101079911984,0.2980769230769231
lora,H-Optimus-0,lunghist700,0.01,0.538458879573087,0.1098794063079777,0.1534516003269415,0.0019800605682226,9.999994569887027,0.4903846153846153
lora,H-Optimus-0,lunghist700,0.1,0.6598360464264277,0.2367137624280481,0.0574819017201662,0.0556517433948241,0.7066612871443082,0.5288461538461539
lora,H-Optimus-0,lunghist700,0.1,0.5772737481706303,0.1562757505454359,0.0526305144796004,0.0865573129401757,0.7880214760948835,0.375
lora,H-Optimus-0,lunghist700,0.1,0.6131057332419564,0.1421790974529964,0.0616157170958243,0.081092628578727,1.7170898294668102,0.25
lora,H-Optimus-0,lunghist700,1.0,0.9559067390739544,0.6656129843241645,0.1638140893326355,0.0568764364490142,0.5573516799478809,0.2403846153846154
lora,H-Optimus-0,lunghist700,1.0,0.9591206292129444,0.7410529635899094,0.1883051641858541,0.0766934847029355,0.5225958165062526,0.2403846153846154
lora,H-Optimus-0,lunghist700,1.0,0.9634992538549476,0.7410340841191906,0.2424201433761761,0.1002310990140988,0.540895111659178,0.2307692307692307
lora,H-Optimus-0,mhist,0.01,0.5105438501710786,0.3874303343949045,0.1201030542442962,0.1039972754239181,1.1180937035042493,0.9754350051177072
lora,H-Optimus-0,mhist,0.01,0.5297564379614622,0.4027802136242046,0.0725195876636305,0.0549559442206317,1.1691741172803003,0.9887410440122824
lora,H-Optimus-0,mhist,0.01,0.5391455069331892,0.386691776522285,0.1157387216235134,0.0410754570514421,1.461860247244985,0.9989764585465712
lora,H-Optimus-0,mhist,0.1,0.7742053844768594,0.5142766942095115,0.0932043335813277,0.0952534162293559,1.0849958006137044,0.9068577277379734
lora,H-Optimus-0,mhist,0.1,0.7672947055645597,0.6016087899984922,0.0748237432223747,0.0646127079715504,0.8334822033793653,0.8167860798362334
lora,H-Optimus-0,mhist,0.1,0.7455767152890329,0.5108279392859559,0.0915943808899382,0.096289399302085,0.947231605234065,0.9191402251791198
lora,H-Optimus-0,mhist,1.0,0.93087070052224,0.8448621285748876,0.032134171340809,0.0340484334966177,1.0186355332554344,0.6325486182190379
lora,H-Optimus-0,mhist,1.0,0.9314582207815596,0.8443743571539098,0.02572053207605,0.0260265636407487,0.9762530541535782,0.6499488229273286
lora,H-Optimus-0,mhist,1.0,0.927876823338736,0.8418354498686909,0.0280695598088242,0.0271182907640384,0.9931085035482388,0.6294779938587513
lora,UNI,lunghist700,0.01,0.509473376262666,0.1504776293596169,0.1002692871082287,0.0092784120486332,5.379368572665874,0.2211538461538461
lora,UNI,lunghist700,0.01,0.5320572322541536,0.1874055177626606,0.1266425955467499,0.0171077950642659,9.99999418665906,0.375
lora,UNI,lunghist700,0.01,0.5767758180769925,0.158460611458961,0.1089391646763453,0.0573344606046493,1.7675921586924193,0.2692307692307692
lora,UNI,lunghist700,0.1,0.6031544692692182,0.2134982664394429,0.0541201748240452,0.0493104867637157,1.2977816037903416,0.3557692307692308
lora,UNI,lunghist700,0.1,0.585996551258753,0.2692394062708905,0.0643275405925053,0.0857527846327194,4.049142767543553,0.2884615384615384
lora,UNI,lunghist700,0.1,0.6352108516443683,0.2089400555267022,0.0576839544452153,0.0582595120828885,0.9941797926775984,0.2692307692307692
lora,UNI,lunghist700,1.0,0.9602412781721756,0.7319438011164042,0.1957489097347626,0.0880645499206506,0.6254443462451894,0.2307692307692307
lora,UNI,lunghist700,1.0,0.9674840854979984,0.7397428528483972,0.1856372557007349,0.1151715216155235,0.5450695345128588,0.2307692307692307
lora,UNI,lunghist700,1.0,0.9558614813916888,0.7277658304033946,0.2024147385874619,0.0621611298276827,0.5753649020492455,0.2307692307692307
lora,UNI,mhist,0.01,0.7235503331532505,0.5935844785213219,0.0555536859156897,0.0681292087281982,0.7071889789941841,0.7574206755373593
lora,UNI,mhist,0.01,0.4444511975508735,0.3973765009046549,0.1406819959806932,0.0867547912936859,2.082269907758982,0.9918116683725692
lora,UNI,mhist,0.01,0.5601949396722492,0.3922869583246942,0.151067518086736,0.0490053071580377,1.926673079826856,0.9959058341862844
lora,UNI,mhist,0.1,0.7895146767513057,0.5601167515627801,0.1092391844072446,0.1053695529584936,1.1912929306374462,0.8761514841351075
lora,UNI,mhist,0.1,0.6770934629929769,0.4184849240223634,0.1321640298334822,0.0821381852320541,1.3411201228238152,0.9866939611054248
lora,UNI,mhist,0.1,0.6969588510714928,0.4011476076912378,0.1753015668725284,0.0854196463432258,1.7676160046402565,0.992835209825998
lora,UNI,mhist,1.0,0.8957275346659463,0.7430570166210815,0.1007518985708117,0.088159567250383,1.244447515085525,0.7727737973387923
lora,UNI,mhist,1.0,0.884537637313164,0.7102428821178821,0.1382026744257189,0.1171883231900182,1.3483665760489862,0.8096212896622313
lora,UNI,mhist,1.0,0.8903633171258779,0.7362071370348048,0.1296857814290231,0.111358614007398,1.339570604124684,0.7942681678607983
